person_name,birth_year,death_year,gender
A.C. Wharton,1944,,M
A.L. Kennedy,1965,,M
Aaron Brookner,1981,,M
Aaron Miller,,,M
Aaron Moser,,,M
Abbes Zahmani,1961,,M
Abdel Aziz El Mountassir,1958,,M
Abdel Hafed Benotman,1960,2015,M
Abdelkrim Bahloul,1950,,M
Abdellatif Kechiche,1960,,M
Abdel Raouf Dafri,1964,,M
Abderrazek Jazi,,,M
Abdulah Sidran,1944,2024,M
Abedi Pelé,1964,,M
Abel Ferrara,1951,,M
Abel Folk,1959,,M
Abel Jafri,1965,,M
Abiodun Oyewole,1948,,M
Abisag Tüllmann,1935,1996,F
Abraham Ascher,1928,,M
Abraham Cohen,1976,,M
Abraham Segal,1937,,M
Achero Mañas,1966,,M
Achille Brugnini,1940,,M
Achille Sidoti,,,M
Achill Moser,1954,,M
Achim Hübner,1929,2014,M
Adalberto Maria Merli,1938,,M
Ada Loueilh,,,F
Ádám Breier,,,M
Ádám Császi,1978,,M
Adam Deacon,1983,,M
Adam Gunn,1966,,M
Adam Low,,,M
Ádám Nádasdy,1947,,M
Adam Oldroyd,,,M
Adam Park,,,M
Adam Parr,1965,,M
Adam Puslojić,1943,,M
Ádám Rajhona,1943,2016,M
Adam Smith,,,M
Ádám Tősér,1980,,M
Ada Solomon,1968,,F
Adele Corradi,1924,2024,F
Adelfa Calvo,1962,,F
Adeline Picault,1982,,F
Adél Kováts,1962,,F
Adil Azzab,1985,,M
Adina Cristescu,1967,2023,F
Adina Pintilie,1980,,F
Adina Popescu,1978,,F
Adnane Tragha,1975,,M
Adolfo Arrieta,1942,,M
Adolfo Assor,1945,,M
Adolfo Dufour,,,M
Adolfo Margiotta,1957,,M
Adolpha van Meerhaeghe,1948,,F
Adria Garcia,1978,,M
Adriana Altaras,1960,,F
Adriana Asti,1931,,F
Adriana Băilescu,1971,,F
Adriana Hölszky,1953,,F
Adriana Ozores,1959,,F
Adriana Trandafir,1956,,F
Adrian Belew,1949,,M
Adrian Ciobanu,1961,,M
Adrian Dunbar,1958,,M
Adrian Edmondson,1957,,M
Adrian Enache,1966,,M
Adrian Frieling,1961,,M
Adrian Goiginger,1991,,M
Adrian Hood,1968,,M
Adrian Lester,1968,,M
Adrian McLoughlin,1947,,M
Adrian Munteanu,1948,,M
Adrian Noble,1950,,M
Adriano Aprà,1940,2024,M
Adriano Chiaramida,1941,,M
Adriano Cutraro,1978,,M
