film_id,nat_title,film_country,prod_share
ES2018_001,El mejor verano de mi vida,ES,MAJ
ES2018_002,La tribu,ES,MAJ
ES2018_003,Todos lo saben,ES,MAJ
ES2018_003,Todos lo saben,FR,MIN
ES2018_003,Todos lo saben,IT,MIN
ES2018_004,Ola de crímenes,ES,MAJ
ES2018_005,El reino,ES,MAJ
ES2018_005,El reino,FR,MIN
ES2018_006,Miamor perdido,ES,MAJ
ES2018_007,Tu hijo,ES,MAJ
ES2018_007,Tu hijo,FR,MIN
ES2018_008,Petra,ES,MAJ
ES2018_008,Petra,FR,MIN
ES2018_008,Petra,DK,MIN
ES2018_009,Quién te cantará,ES,MAJ
ES2018_009,Quién te cantará,FR,MIN
ES2018_010,La enfermedad del domingo,ES,MAJ
ES2018_011,Mudar la piel,ES,MAJ
ES2018_012,El silencio de otros,ES,MAJ
ES2018_012,El silencio de otros,US,MIN
ES2018_013,Mi querida cofradía,ES,MAJ
ES2018_014,El árbol de la sangre,ES,MAJ
ES2018_015,Oreina,ES,MAJ
ES2018_016,The Man Who Killed Don Quixote,ES,MAJ
ES2018_016,The Man Who Killed Don Quixote,BE,MIN
ES2018_016,The Man Who Killed Don Quixote,FR,MIN
ES2018_016,The Man Who Killed Don Quixote,PT,MIN
ES2018_016,The Man Who Killed Don Quixote,GB,MIN
ES2018_017,En las estrellas,ES,MAJ
ES2018_018,Figuras,ES,MAJ
ES2018_018,Figuras,AR,MIN
ES2018_019,Trote,ES,MAJ
ES2018_019,Trote,LT,MIN
ES2018_020,Cuando dejes de quererme,ES,MAJ
ES2018_020,Cuando dejes de quererme,AR,MIN
ES2018_021,Formentera Lady,ES,MAJ
ES2018_022,Miau,ES,MAJ
ES2018_023,Miss Dalí,ES,MAJ
ES2018_024,Sea Beasts,ES,MAJ
ES2018_025,Apocalipsis Voodoo,ES,MAJ
ES2018_026,"Escoréu, 24 d'avientu de 1937",ES,MAJ
ES2018_027,Good Bye Mister Marshall,ES,MAJ
ES2018_028,Los gigantes no existen,ES,MAJ
ES2018_028,Los gigantes no existen,GT,MIN
ES2018_029,"Director Z, el vendedor de ilusiones",ES,MAJ
ES2018_030,El pintor de Calaveras,ES,MAJ
ES2018_031,La última toma,ES,MAJ
ES2018_032,A palabra xusta,ES,MAJ
ES2018_033,"Alegría, tristeza",ES,MAJ
ES2018_033,"Alegría, tristeza",FR,MIN
ES2018_033,"Alegría, tristeza",BE,MIN
ES2018_034,Sin novedad,ES,MAJ
ES2018_035,No quiero perderte nunca,ES,MAJ
ES2018_036,El último invierno,ES,MAJ
ES2018_037,Carrasca,ES,MAJ
ES2018_038,Akemarropa,ES,MAJ
ES2018_039,Querido Fotogramas,ES,MAJ
ES2018_040,Blue Rai,ES,MAJ
ES2018_041,Doctrina El pecat original i la reinserció,ES,MAJ
ES2018_042,"Els karamazoff, a walk on the SoHo years",ES,MAJ
ES2018_043,Universal i faraona,ES,MAJ
ES2018_044,Ánimas,ES,MAJ
ES2018_044,Ánimas,BE,MIN
ES2018_045,Penélope,ES,MAJ
ES2018_045,Penélope,PL,MIN
ES2018_046,Bernarda,ES,MAJ
ES2018_047,A estación violenta,ES,MAJ
ES2018_048,Rota n' Roll,ES,MAJ
ES2018_049,I Hate New York,ES,MAJ
ES2018_050,El corazón del Teatro Real,ES,MAJ
ES2018_051,Media hora (y un epílogo),ES,MAJ
ES2018_052,El pomo azul,ES,MAJ
ES2018_053,Oh! Mammy Blue,ES,MAJ
ES2018_053,Oh! Mammy Blue,VE,MIN
ES2018_053,Oh! Mammy Blue,DE,MIN
ES2018_054,Experimento Stuka,ES,MAJ
ES2018_055,El año de la plaga,ES,MAJ
ES2018_055,El año de la plaga,MX,MIN
ES2018_055,El año de la plaga,BE,MIN
ES2018_056,Sâdhaka: la senda del yoga,ES,MAJ
ES2018_057,Lunas de Nueva York,ES,MAJ
ES2018_058,Lo posible y lo necesario,ES,MAJ
ES2018_059,Memorias de un hombre en pijama,ES,MAJ
ES2018_060,El amor y la muerte. Historia de Enrique Granados,ES,MAJ
ES2018_061,Jaulas,ES,MAJ
ES2018_062,La vida lliure,ES,MAJ
ES2018_063,Onyx: Kings of the Grail,ES,MAJ
ES2018_064,Paella Today!,ES,MAJ
ES2018_065,Desenterrando Sad Hill,ES,MAJ
ES2018_066,Face au vent,ES,MAJ
ES2018_066,Face au vent,FR,MIN
ES2018_066,Face au vent,AR,MIN
GB2018_001,Fantastic Beasts: The Crimes of Grindelwald,GB,MAJ
GB2018_001,Fantastic Beasts: The Crimes of Grindelwald,US,MIN
GB2018_002,Darkest Hour,GB,MAJ
GB2018_002,Darkest Hour,US,MIN
GB2018_003,Johnny English Strikes Again,GB,MAJ
GB2018_003,Johnny English Strikes Again,US,MIN
GB2018_003,Johnny English Strikes Again,FR,MIN
GB2018_003,Johnny English Strikes Again,CN,MIN
GB2018_004,"Three Billboards Outside Ebbing, Missouri",GB,MAJ
GB2018_004,"Three Billboards Outside Ebbing, Missouri",US,MIN
GB2018_005,King of Thieves,GB,MAJ
GB2018_006,The Guernsey Literary and Potato Peel Pie Society,GB,MAJ
GB2018_006,The Guernsey Literary and Potato Peel Pie Society,FR,MIN
GB2018_006,The Guernsey Literary and Potato Peel Pie Society,US,MIN
GB2018_007,Finding Your Feet,GB,MAJ
GB2018_008,The Children Act,GB,MAJ
GB2018_008,The Children Act,US,MIN
GB2018_009,The Wife,GB,MAJ
GB2018_009,The Wife,US,MIN
GB2018_009,The Wife,SE,MIN
GB2018_010,You Were Never Really Here,GB,MAJ
GB2018_010,You Were Never Really Here,FR,MIN
GB2018_010,You Were Never Really Here,US,MIN
GB2018_011,The Mercy,GB,MAJ
GB2018_011,The Mercy,FR,MIN
GB2018_012,Lean on Pete,GB,MAJ
GB2018_013,Island,GB,MAJ
GB2018_014,"Happy New Year, Colin Burstead",GB,MAJ
GB2018_015,Dead in a Week Or Your Money Back,GB,MAJ
GB2018_016,Tea with the Dames,GB,MAJ
