YEAR,AWARD,"CATEGORY
(EN SHORT)","FILM
(ORIGINAL TITLE)",F/D/A,RESULT,FILM ID
2023,GOYA,BF,20.000 especies de abejas,F,N,ES2023_012
2023,GOYA,BF,Cerrar los ojos,F,N,ES2023_017
2023,GOYA,BF,Saben aquell,F,N,ES2023_016
2023,GOYA,BDF,Mentre siguis tu,D,A,ES2023_113
2023,GOYA,BDF,Caleta Palace,D,N,ES2023_066
2023,GOYA,BAF,Mummies,A,N,ES2023_001
2022,GOYA,BF,As bestas,F,A,ES2022_003
2022,GOYA,BF,Alcarràs,F,N,ES2022_007
2022,GOYA,BF,Cinco lobitos,F,N,ES2022_016
2022,GOYA,BF,Modelo 77,F,N,ES2022_010
2022,GOYA,BDF,A las mujeres de España. María Lejárraga,D,N,ES2022_068
2022,GOYA,BDF,Oswald. El falsificador,D,N,ES2022_089
2022,GOYA,BDF,Sintiéndolo mucho,D,N,ES2022_027
2022,GOYA,BAF,Unicorn Wars,A,A,ES2022_043
2022,GOYA,BAF,Inspector Sun y la maldición de la viuda negra,A,N,ES2022_009
2022,GOYA,BAF,Tadeo Jones 3. La tabla esmeralda,A,N,ES2022_001
2021,GOYA,BF,El buen patrón,F,A,ES2021_045
2021,GOYA,BF,Maixabel,F,N,ES2021_003
2021,GOYA,BF,Madres paralelas,F,N,ES2021_044
2021,GOYA,BF,Mediterráneo,F,N,ES2021_006
2021,GOYA,BF,Libertad,F,N,ES2021_007
2020,GOYA,BF,Las niñas,F,A,ES2020_073
2020,GOYA,BF,La boda de Rosa,F,N,ES2020_004
2020,GOYA,BF,Adú,F,N,ES2020_068
2020,GOYA,BF,Ane,F,N,ES2020_078
2020,GOYA,BDF,El año del descubrimiento,D,A,ES2020_062
2020,GOYA,BAF,La gallina Turuleca,A,A,ES2020_071
2019,GOYA,BF,Dolor y gloria,F,A,ES2019_003
2019,GOYA,BF,O que arde,F,N,ES2019_013
2019,GOYA,BF,Mientras dure la guerra,F,N,ES2019_002
2019,GOYA,BDF,Aute Retrato,D,N,ES2019_014
2019,GOYA,BDF,El cuadro,D,N,ES2019_066
2019,GOYA,BDF,Historias de nuestro cine,D,N,ES2019_015
2019,GOYA,BAF,Elcano y Magallanes. La primera vuelta al mundo,A,N,ES2019_086
2019,GOYA,BAF,Klaus,A,N,ES2019_012
2018,GOYA,BF,Campeones,F,A,ES2018_069
2018,GOYA,BF,El reino,F,N,ES2018_005
2018,GOYA,BF,Everybody Knows,F,N,ES2018_003
2018,GOYA,BDF,El silencio de otros,D,A,ES2018_012
2018,GOYA,BDF,Camarón: flamenco y revolución,D,N,ES2018_087
2018,GOYA,BDF,Desenterrando Sad Hill,D,N,ES2018_065
2018,GOYA,BAF,Memorias de un hombre en pijama,A,N,ES2018_059
2017,GOYA,BF,The Bookshop,F,A,ES2017_004
2017,GOYA,BF,El autor,F,N,ES2017_030
2017,GOYA,BF,Handia,F,N,ES2017_029
