The-Beast-2018-2023-main v2 (1)
film_id;nat_title;eng_title;director;release_type;release_date;film_type
IT2018_001;A casa tutti bene;There Is No Place Like Home;Gabriele Muccino;THE;2/14/2018;F
IT2018_002;Benedetta follia;Blessed Madness;Carlo Verdone;THE;1/11/2018;F
IT2018_003;La Befana vien di notte;The Legend of the Christmas Witch;Michele Soavi;THE;27.12.18;F
IT2018_004;Amici come prima;;Christian De Sica, Brando De Sica;THE;19.12.18;F
IT2018_005;Moschettieri del re: La Penultima Missione;The King's Musketeers;Giovanni Veronesi;THE;27.12.18;F
IT2018_006;Loro 1;;Paolo Sorrentino;THE;4/24/2018;F
IT2018_007;Se son rose;;Leonardo Pieraccioni;THE;29.11.18;F
IT2018_008;The Leisure Seeker;The Leisure Seeker;Paolo Virzì;THE;1/18/2018;F
IT2018_009;Il vegetale;;Gennaro Nunziante;THE;1/18/2018;F
IT2018_010;Metti la nonna in freezer;Put Grandma in the Freezer;Giancarlo Fontana, Giuseppe Stasi;THE;3/15/2018;F
IT2018_011;Ti presento Sofia;Let Me Introduce You to Sofia;Guido Chiesa;THE;31.10.18;F
IT2018_012;Dogman;;Matteo Garrone;THE;5/17/2018;F
IT2018_013;Loro 2;;Paolo Sorrentino;THE;5/10/2018;F
IT2018_014;Puoi baciare lo sposo;My Big Gay Italian Wedding;Alessandro Genovesi;THE;3/1/2018;F
IT2018_015;Sono tornato;I'm back;Luca Miniero;THE;2/1/2018;F
IT2018_016;Una festa esagerata;;Vincenzo Salemme;THE;3/22/2018;F
IT2018_017;Il testimone invisibile;The Invisible Witness;Stefano Mordini;THE;13.12.18;F
IT2018_018;Arrivano i prof;;Ivan Silvestrini;THE;5/1/2018;F
IT2018_019;Io sono Tempesta;;Daniele Luchetti;THE;4/12/2018;F
IT2018_020;Euforia;Euphoria;Valeria Golino;THE;25.10.18;F
IT2018_021;Il vizio della speranza;The Vice of Hope;Edoardo De Angelis;THE;22.11.18;F
IT2018_022;Io c'è;;Alessandro Aronadio;THE;3/29/2018;F
IT2018_023;Il ragazzo invisibile: Seconda generazione;The Invisible Boy: Second Generation;Gabriele Salvatores;THE;1/4/2018;F
IT2018_024;Notti magiche;Magical Nights;Paolo Virzì;THE;11/8/2018;F
IT2018_025;Finalmente sposi;;Lello Arena;THE;1/25/2018;F
IT2018_026;Sconnessi;;Cristian Marazziti;THE;2/22/2018;F
IT2018_027;La fuitina sbagliata;;Mimmo Esposito;THE;18.10.11;F
IT2018_028;Una storia senza nome;The Stolen Caravaggio;Roberto Andò;THE;9/20/2018;F
IT2018_029;Uno di famiglia;One of the Family;Alessio Maria Federici;THE;25.10.18;F
IT2018_030;Cosa fai a Capodanno?;What for New Year’s Eve?;Filippo Bologna;THE;15.11.18;F
IT2018_031;Michelangelo - Infinito;Michelangelo - Endless;Emanuele Imbucci;THE;9/27/2018;D
IT2018_032;Ricchi di fantasia;Dreamfools;Francesco Miccichè;THE;9/27/2018;F
IT2018_033;Santiago, Italia;;Nanni Moretti;THE;12/6/2018;D
IT2018_034;Sulla mia pelle. Gli ultimi sette giorni di Stefano Cucchi;On My Skin: The Last Seven Days of Stefano Cucchi;Alessio Cremonini;THE;9/12/2018;F
IT2018_035;Lazzaro felice;Happy as Lazzaro;Alice Rohrwacher;THE;5/31/2018;F
IT2018_036;Fabrizio De André: Principe libero;;Luca Facchini;THE;1/23/2018;F
IT2018_037;Tu mi nascondi qualcosa;;Giuseppe Lo Console;THE;4/25/2018;F
IT2018_038;Hotel Gagarin;Hotel Gagarin;Simone Spada;THE;5/24/2018;F
IT2018_039;Il tuttofare;The Handyman;Valerio Attanasio;THE;4/19/2018;F
IT2018_040;Tonno spiaggiato;;Matteo Martinez;THE;5/10/2018;F
IT2018_041;Nome di donna;A Woman's Name;Marco Tullio Giordana;THE;3/8/2018;F
IT2018_042;La prima pietra;The First Stone;Rolando Ravello;THE;12/6/2018;F
IT2018_043;Nobili bugie;Noble Lies;Antonio Pisu;THE;5/24/2018;F
IT2018_044;Un nemico che ti vuole bene;My Beloved Enemy;Denis Rabaglia;THE;10/4/2018;F
IT2018_045;Achille Tarallo;;Antonio Capuano;THE;25.10.18;F
IT2018_046;Bob & Marys;Bob & Marys;Francesco Prisco;THE;4/5/2018;F
IT2018_047;La profezia dell'armadillo;The Armadillo's Prophecy;Emanuele Scaringi;THE;9/13/2018;F
IT2018_048;Non è vero ma ci credo;Happy Go Lucky;Stefano Anselmi;THE;10/4/2018;F
IT2018_049;Hitler contro Picasso e gli altri;Discover Arts: Hitler vs Picasso;Claudio Poli;THE;3/13/2018;D
IT2018_050;Vengo anch'io;I'll come too!;Maria Di Biase, Corrado Nuzzo;THE;3/8/2018;F
IT2018_051;La terra buona;The Good Place;Emanuele Caruso;THE;3/1/2018;F
IT2018_052;Tito e gli alieni;Little Tito and the Aliens;Paola Randi;THE;6/7/2018;F
IT2018_053;La terra dell'abbastanza;Boys Cry;Damiano D'Innocenzo, Fabio D'Innocenzo;THE;6/7/2018;F
IT2018_054;Si muore tutti democristiani;;Pietro Belfiore, Davide Bonacina, Andrea Fadenti, Andrea Mazzarella, Davide Rossi;THE;5/10/2018;F
IT2018_055;Il bene mio;My Own Good;Pippo Mezzapesa;THE;10/4/2018;F
IT2018_056;Rosso Istria;Red Land;Maximiliano Hernando Bruno;THE;15.11.18;F
IT2018_057;Figlia mia;Daughter of mine;Laura Bispuri;THE;2/22/2018;F
IT2018_058;Una vita spericolata;Reckless;Marco Ponti;THE;6/21/2018;F
IT2018_059;Malati di sesso;Love Therapy;Claudio Cicconetti;THE;6/7/2018;F
IT2018_060;San Valentino Stories;;Antonio Guerriero, Emanuele Palamara, Gennaro Scarpato;THE;2/14/2018;F
IT2018_061;Il mio uomo perfetto;;Nilo Sciarrone;THE;3/15/2018;F
IT2018_062;Favola;Fairytale;Sebastiano Mauri;THE;6/25/2018;F
IT2018_063;Beate;;Samad Zarmandili;THE;8/30/2018;F
IT2018_064;La Banda Grossi;;Claudio Ripalti;THE;9/20/2018;F
IT2018_065;1938 - Diversi;1938 Different;Giorgio Treves;THE;18.10.11;D
IT2018_066;Ovunque proteggimi;Wherever you are;Bonifacio Angius;THE;29.11.18;F
IT2018_067;Il mio nome è Thomas;My Name Is Thomas;Terence Hill;THE;4/19/2018;F
IT2018_068;Menocchio;Menocchio the Heretic;Alberto Fasulo;THE;30.10.18;F
IT2018_069;Un amore così grande;;Cristian De Mattheis;THE;9/20/2018;F
IT2018_070;In viaggio con Adele;Travelling with Adele;Alessandro Capitani;THE;18.10.18;F
IT2018_071;Hannah;Hannah;Andrea Pallaoro;THE;2/15/2018;F
IT2018_072;Manuel;Il figlio, Manuel;Dario Albertini;THE;5/3/2018;F
IT2018_073;Youtopia;;Berardo Carboni;THE;4/25/2018;F
IT2018_074;Lovers: Piccolo Film Sull'amore;Lovers;Matteo Vicino;THE;4/5/2018;F
IT2018_075;Rabbia furiosa - Er Canaro;Dogman's Rabies;Sergio Stivaletti;THE;6/7/2018;F
IT2018_076;Ci vuole un fisico;In top form? No, thank you!;Alessandro Tamburini;THE;5/3/2018;F
IT2018_077;Il ragazzo più felice del mondo;The Young Fan;Gian Alfonso Pacinotti;THE;11/8/2018;F
IT2018_078;Nato a Casal di Principe;Born in Casal Di Principe;Bruno Oliviero;THE;4/25/2018;F
IT2018_079;Due piccoli italiani;Two Little Italians;Paolo Sassanelli;THE;6/14/2018;F
IT2018_080;Resina;;Renzo Carbonera;THE;5/31/2018;F
IT2018_081;Ride;;Valerio Mastandrea;THE;29.11.18;F
IT2018_082;Quando sarò bambino;Once I Will Be Child;Edoardo Palma;THE;2/2/2018;F
IT2018_083;Arrivederci Saigon;;Wilma Labate;THE;31.10.18;D
IT2018_084;Un figlio a tutti i costi;;Fabio Gravina;THE;3/1/2018;F
IT2018_085;Saremo giovani e bellissimi;We'lle be young and beautiful;Letizia Lamartire;THE;9/20/2018;F
IT2018_086;Respiri;;Alfredo Fiorillo;THE;6/7/2018;F
IT2018_087;Edhel;;Marco Renda;THE;1/25/2018;F
IT2018_088;Isabelle;Isabelle;Mirko Locatelli;THE;29.11.18;F
IT2018_089;Ulysses - A Dark Odyssey;Ulysses - A Dark Odyssey;Federico Alotto;THE;6/14/2018;F
IT2018_090;Era giovane e aveva gli occhi chiari;She was young with light eyes;Giovanni Mazzitelli;THE;3/29/2018;F
IT2018_091;Quando Corre Nuvolari;When Nuvolari Runs: The Flying Mantuan;Tonino Zangardi;THE;4/13/2018;F
IT2018_092;Rudy Valentino;Rudy Valentino;Nico Cirasola;THE;5/24/2018;F
IT2018_093;Guarda in alto;Look Up;Fulvio Risuleo;THE;18.10.18;F
IT2018_094;Gualtiero Marchesi: The Great Italian;Gualtiero Marchesi: The Great Italian;Maurizio Gigola;THE;3/20/2018;D
IT2018_095;Essere Gigione - L'incredibile storia di Luigi Ciaravola;;Valerio Vestoso;THE;1/18/2018;D
IT2018_096;Blue Kids;;Andrea Tagliaferri;THE;6/14/2018;F
IT2018_097;Seguimi;In My Steps;Claudio Sestieri;THE;22.11.18;F
IT2018_098;Prigioniero della mia libertà;Prisoner of my Freedom;Rosario Errico;THE;5/31/2018;F
IT2018_099;Te lo dico pianissimo;;Pasquale Marrazzo;THE;9/13/2018;F
IT2018_100;Stato di ebbrezza;;Luca Biglione;THE;5/24/2018;F
IT2018_101;Pane dal Cielo;Bread from Heaven;Giovanni Bedeschi;THE;8/9/2018;F
IT2018_102;Din Don - Una parrocchia in due;;Claudio Norza;THE;17.12.18;F
IT2018_103;Caina;;Stefano Amatucci;THE;5/28/2018;F
IT2018_104;Friedkin Uncut - Un Diavolo Di Regista;Friedkin Uncut;Francesco Zippel;THE;11/5/2018;D
IT2018_105;Cattivi & Cattivi;;Stefano Calvagna;THE;8/9/2018;F
IT2018_106;La settima onda;;Massimo Bonetti;THE;5/24/2018;F
IT2018_107;Storie del dormiveglia;Stories of the Half-Light;Luca Magi;THE;30.10.18;D
IT2018_108;Buon lavoro;;Marco Demurtas;THE;6/6/2022;F
IT2018_109;Uno sguardo alla Terra;A look at the Earth;Peter Marcias;THE;5/3/2018;D
IT2018_110;Oltre la nebbia - Il mistero di Rainer Merz;Beyond the Mist;Giuseppe Varlotta;THE;10/4/2018;F
IT2018_111;Vinilici - Perché il vinile ama la musica;Vinylholic - Because Vinyl Loves Music;Fulvio Iannucci;THE;20.11.18;D
IT2018_112;Wine to love;;Domenico Fortunato;THE;18.12.18;F
IT2018_113;Bogside Story;;Rocco Forte, Pietro Laino;THE;9/20/2018;D
IT2019_001;Il primo Natale;Once Upon a Time in Bethlehem;Salvatore Ficarra, Valentino Picone;THE;19.12.12;F
IT2019_002;Pinocchio;;Matteo Garrone;THE;19.12.19;F
IT2019_003;La dea fortuna;The Goddess of Fortune;Ferzan Ozpetek;THE;19.12.19;F
IT2019_004;10 giorni senza mamma;When Mom is away;Alessandro Genovesi;THE;7/2/2019;F
IT2019_005;Il giorno più bello del mondo;The Most Beautiful Day in the World;Alessandro Siani;THE;31.10.19;F
IT2019_006;L'immortale;The Immortal;Marco D'Amore;THE;5/12/2019;F
IT2019_007;Ma cosa ci dice il cervello;Don't Stop Me Now;Riccardo Milani;THE;4/18/2019;F
IT2019_008;Il traditore;The Traitor;Marco Bellocchio;THE;5/23/2019;F
IT2019_009;Cetto c'è senzadubbiamente;Cetto is back, doubtlessly;Giulio Manfredonia;THE;21.11.19;F
IT2019_010;Non ci resta che il crimine;All You Need Is Crime;Massimiliano Bruno;THE;10/1/2019;F
IT2019_011;Mio fratello rincorre i dinosauri;;Stefano Cipani;THE;5/9/2019;F
IT2019_012;Tutto il mio folle amore;All My Crazy Love;Gabriele Salvatores;THE;24.10.19;F
IT2019_013;L'uomo del labirinto;Into the Labyrinth;Donato Carrisi;THE;30.10.19;F
IT2019_014;Domani è un altro giorno;Tomorrow's a New Day;Simone Spada;THE;2/28/2019;F
IT2019_015;La paranza dei bambini;Piranhas;Claudio Giovannesi;THE;2/13/2019;F
IT2019_016;Bentornato presidente;;Giancarlo Fontana, Giuseppe Stasi;THE;3/28/2019;F
IT2019_017;Tutta un'altra vita;;Alessandro Pondi;THE;12/9/2019;F
IT2019_018;L'agenzia dei bugiardi;;Volfango De Biasi;THE;1/17/2019;F
IT2019_019;Sono solo fantasmi;;Christian De Sica;THE;14.11.19;F
IT2019_020;Modalità aereo;;Fausto Brizzi;THE;2/21/2019;F
IT2019_021;Croce e delizia;An Almost Ordinary Summer;Simone Godano;THE;2/28/2019;F
IT2019_022;Compromessi sposi;You Can't Kiss the Bride;Francesco Miccichè;THE;1/24/2019;F
IT2019_023;Scappo a casa;;Enrico Lando;THE;3/21/2019;F
IT2019_024;Il signor Diavolo;;Pupi Avati;THE;8/22/2019;F
IT2019_025;Il campione;The Champion;Leonardo D'Agostini;THE;4/18/2019;F
IT2019_026;Suspiria;;Luca Guadagnino;THE;1/1/2019;F
IT2019_027;Tuttapposto;Letscleanapp;Gianni Costantino;THE;3/10/2019;F
IT2019_028;Se mi vuoi bene;;Fausto Brizzi;THE;17.10.19;F
IT2019_029;Io, Leonardo;Amazing Leonardo;Jesus Garces Lambert;THE;2/10/2019;D
IT2019_030;L'uomo che comprò la luna;The Man Who Bought the Moon;Paolo Zucca;THE;4/4/2019;F
IT2019_031;Aquile Randagie;Stray Eagles;Gianni Aureli;THE;9/30/2019;F
IT2019_032;5 è il numero perfetto;5 Is the Perfect Number;Igor Tuveri;THE;8/29/2019;F
IT2019_033;Attenti al gorilla;Beware the Gorilla;Luca Miniero;THE;10/1/2019;F
IT2019_034;Brave ragazze;Good Gals;Michela Andreozzi;THE;19.10.10;F
IT2019_035;Vivere;;Francesca Archibugi;THE;9/26/2019;F
IT2019_036;La mia seconda volta;A Second Chance;Alberto Gelpi;THE;3/21/2019;F
IT2019_037;#AnneFrank. Parallel Stories;;Sabina Fedeli, Anna Migotto;THE;19.11.11;D
IT2019_038;Genitori quasi perfetti;;Laura Chiossone;THE;8/29/2019;F
IT2019_039;C'è tempo;;Walter Veltroni;THE;7/3/2019;F
IT2019_040;Restiamo amici;Friends Will Be Friends;Antonello Grimaldi;THE;4/7/2019;F
IT2019_041;Il sindaco del Rione Sanità;The Mayor of Rione Sanità;Mario Martone;THE;9/30/2019;F
IT2019_042;Aspromonte - La terra degli ultimi;Aspromonte: Land of the Forgotten;Mimmo Calopresti;THE;21.11.19;F
IT2019_043;A mano disarmata;;Claudio Bonivento;THE;6/6/2019;F
IT2019_044;Il nido;The Nest;Roberto De Feo;THE;8/15/2019;F
IT2019_045;Il grande spirito;;Sergio Rubini;THE;9/5/2019;F
IT2019_046;Il grande salto;;Giorgio Tirabassi;THE;6/13/2019;F
IT2019_047;Ricordi?;;Valerio Mieli;THE;3/21/2019;F
IT2019_048;Ermitage. Il potere dell'arte;;Michele Mally;THE;21.10.19;D
IT2019_049;Dolceroma;;Fabio Resinaro;THE;4/4/2019;F
IT2019_050;Dentro Caravaggio;;Francesco Fei;THE;5/27/2019;D
IT2019_051;Appena un minuto;;Francesco Mandelli;THE;3/10/2019;F
IT2019_052;Il Museo del Prado - La corte delle meraviglie;The Prado Museum. A Collection of Wonders;Valeria Parisi;THE;4/15/2019;D
IT2019_053;Bene ma non benissimo;;Francesco Mandelli;THE;4/4/2019;F
IT2019_054;L'ospite;;Duccio Chiarini;THE;8/22/2019;F
IT2019_055;A Tor Bella Monaca non piove mai;It's a Mad World;Marco Bocci;THE;28.11.19;F
IT2019_056;Dafne;;Federico Bondi;THE;3/21/2019;F
IT2019_057;Effetto Domino;;Alessandro Rossetto;THE;3/9/2019;F
IT2019_058;Mò Vi Mento - Lira di Achille;;Stefania Capobianco, Francesco Gagliardi;THE;5/16/2019;F
IT2019_059;La scomparsa di mia madre;The Disappearance of My Mother;Beniamino Barrese;THE;19.10.10;D
IT2019_060;Vita segreta di Maria Capasso;;Salvatore Piscicelli;THE;7/18/2019;F
IT2019_061;Non Ci Resta Che Ridere;We Just Have to Laugh;Alessandro Paci;THE;2/5/2019;F
IT2019_062;Il colpo del cane;The Dog Snatch;Fulvio Risuleo;THE;9/19/2019;F
IT2019_063;Lucania;;Gigi Roccati;THE;6/20/2019;F
IT2019_064;Detective per Caso;The Accidental Detective;Giorgio Romano;THE;3/18/2019;F
IT2019_065;Walking on Water;Walking on Water;Andrey Paounov;THE;6/16/2019;D
IT2019_066;Drive Me Home;;Simone Catania;THE;9/26/2019;F
IT2019_067;Tutto liscio;;Igor Maltagliati;THE;11/4/2019;F
IT2019_068;Fiore gemello;Twin Flower;Laura Luchetti;THE;6/6/2019;F
IT2019_069;Il flauto magico di Piazza Vittorio;;Gianfranco Cabiddu, Mario Tronco;THE;6/20/2019;F
IT2019_070;I nomi del signor Sulcic;;Elisabetta Sgarbi;THE;7/2/2019;D
IT2019_071;- M - Sono solo un ragazzo;;Lorenzo D'Amelio;THE;18.11.19;F
IT2019_072;Ed è subito sera;;Claudio Insegno;THE;3/21/2019;F
IT2019_073;Nati 2 volte;Born Twice;Pierluigi Di Lallo;THE;28.11.19;F
IT2019_074;Il conte magico;;Marco Melluso, Diego Schiavo;THE;6/26/2019;F
IT2019_075;La freccia del tempo;;Carlo Sarti;THE;19.12.10;F
IT2019_076;Il Giovane Pertini Combattente per la libertà;;Giambattista Assanti;THE;14.11.19;F
IT2019_077;Bassil'ora;;Rebecca Basso;THE;3/12/2019;D
IT2019_078;Nevermind;;Eros Puglielli;THE;1/8/2019;F
IT2019_079;Qui Non Si Muore;;Roberto Gasparro;THE;5/11/2019;F
IT2019_080;La notte è piccola per noi;The Night is Too Short for Us;Gianfrancesco Lazotti;THE;3/14/2019;F
IT2019_081;As time goes by, l'uomo che disegnava sogni;As time goes by, the man who painted dreams;Simone Aleandri;THE;1/25/2019;D
