person_id,person_name,birth_year,death_year,gender
,A.C. Wharton,1944,,M
,A.L. Kennedy,1965,,M
,Aaron Miller,,,M
,Aaron Moser,,,M
 ,Abbes Zahmani,1961,,M
,Abdel Aziz El Mountassir,1958,,M
 ,Abdel Raouf Dafri,1964,,M
,Abdelkrim Bahloul,1950,,M
,Abdellatif Kechiche,1960,,M
,Abel Ferrara,1951,,M
 ,Abel Jafri,1965,,M
 ,Abraham Cohen,1976,,M
,Achero Mañas,1966,,M
,Achill Moser,1954,,M
,Achille Sidoti,,,M
,Ada Solomon,1968,,F
 ,Adalberto Maria Merli,1938,,M
,Adam Deacon,1983,,M
,Adam Gunn,1966,,M
,Adam Oldroyd,,,M
,Adam Park,,,M
 ,Adam Parr,1965,,M
,Adam Puslojić,1943,,M
,Adam Smith,,,M
,Ádám Tősér,1980,,M
,Adelfa Calvo,1962,,F
 ,Adeline Picault,1982,,F
,Adina Cristescu,1967,2023,F
,Adina Pintilie,1980,,F
,Adina Popescu,1978,,F
,Adolfo Assor,1945,,M
,Adolfo Dufour,,,M
 ,Adolfo Margiotta,1957,,M
 ,Adolpha van Meerhaeghe,1948,,F
 ,Adria Garcia,1978,,M
,Adrian Belew,1949,,M
,Adrian Ciobanu,1961,,M
,Adrian Dunbar,1958,,M
,Adrian Edmondson,1957,,M
,Adrian Enache,1966,,M
,Adrian Frieling,1961,,M
,Adrian Goiginger,1991,,M
,Adrian Hood,1968,,M
 ,Adrian Shergold,1948,,M
,Adrián Silvestre,1981,,M
,Adrian Titieni,1963,,M
,Adriana Altaras,1960,,F
 ,Adriana Asti,1931,,F
,Adriana Ozores,1959,,F
 ,Adrian Lester,1968,,M
,Adrian McLoughlin,1947,,M
,Adrian Noble,1950,,M
,Adrian Păduraru,1960,,M
 ,Adriano Chiaramida,1941,,M
 ,Adriano Morelli,1985,,M
 ,Adriano Pappalardo,1945,,M
 ,Adrian Rawlins,1958,,M
 ,Adrien Soland,,,M
,Adrienne Barbeau,1945,,F
,Aelrun Goette,1966,,M
 ,Adrien Piquet-Gauthier,1984,,M
 ,Affif Ben Badra,1960,,M
,Agathe Taffertshofer,1946,,
,Ági Szirtes,1955,,F
,Ági Voith,1944,,F
,Agnès Fouilleux,1952,,F
,Agnès Godard,1951,,F
 ,Agnès Jaoui,1964,,F
,Ágnes Keleti,1921,,F
,Ágnes Máhr,1952,,F
 ,Agnès Soral,1960,,F
