person_id,person_name,person_nat
,A.C. Wharton,US
,A.L. Kennedy,GB
,Aaron Miller,US
,Aaron Moser,DE
,Abbes Zahmani,DZ
,Abdel Aziz El Mountassir,MA
,Abdelkrim Bahloul,DZ
,Abdellatif Kechiche,FR
,Abdellatif Kechiche,TN
,Abdel Raouf Dafri,FR
,Abel Ferrara,US
,Abel Jafri,FR
,Abraham Cohen,FR
,Achero Mañas,ES
,Achille Sidoti,IT
,Achill Moser,DE
,Adalberto Maria Merli,IT
,Adam Deacon,GB
,Adam Gunn,US
,Adam Oldroyd,GB
,Adam Park,GB
,Adam Parr,GB
,Adam Puslojić,RS
,Adam Smith,GB
,Ádám Tősér,HU
,Ada Solomon,RO
,Adelfa Calvo,ES
,Adeline Picault,FR
,Adina Cristescu,RO
,Adina Pintilie,RO
,Adina Popescu,RO
,Adolfo Assor,CL
,Adolfo Dufour,ES
,Adolfo Margiotta,IT
,Adolpha van Meerhaeghe,FR
,Adria Garcia,ES
,Adriana Altaras,CR
,Adriana Asti,IT
,Adriana Ozores,ES
,Adrian Belew,GB
,Adrian Ciobanu,RO
,Adrian Dunbar,GB
,Adrian Edmondson,UK
,Adrian Enache,RO
,Adrian Frieling,DE
,Adrian Goiginger,AT
,Adrian Hood,GB
,Adrian Lester,GB
,Adrian McLoughlin,GB
,Adrian Noble,GB
,Adriano Chiaramida,IT
,Adriano Morelli,IT
,Adriano Pappalardo,IT
,Adrian Păduraru,RO
,Adrian Rawlins,GB
,Adrian Shergold,GB
,Adrián Silvestre,ES
,Adrian Titieni,RO
,Adrienne Barbeau,US
,Adrien Piquet-Gauthier,FR
,Adrien Soland,FR
,Aelrun Goette,DE
,Affif Ben Badra,FR
,Agathe Taffertshofer,DE
,Ági Szirtes,HU
,Ági Voith,HU
,Agnès Fouilleux,FR
,Agnès Godard,FR
,Agnès Jaoui,FR
,Ágnes Keleti,HU
,Ágnes Máhr,HU
,Agnès Soral,CH
,Ágnes Sós,HU
,Agnès Varda,BE
,Agustí Villaronga,ES
,Ahmed Benaïssa,FR
,Ahmed Benaïssa,DZ
,Ahmed Hafiene,TN
,Ahmed Hamidi,FR
,Ahuva Sommerfeld,IS
,Aiman Abdallah,DE
,Áine Uí Cheallaigh,IE
,Ainhoa Arteta,ES
,Ainhoa Rodríguez,ES
,Aislinn Clarke,IE
,Aïssa Maïga,FR
,Aitana Sánchez-Gijón,ES
,Aitor López de Aberásturi,ES
,Aitor Merino,ES
,Aitzpea Goenaga,ES
,Ai Weiwei,CN
,Ajmer Singh,IN
,Ajoy Bose,IN
,Akiko Hitomi,JP
,Akilas Karazisis,GR
,Ákos Badits,HU
,Ákos Horváth,HU
,Ákos Kőszegi,HU
,Aladár Horváth,HU
,Aladin Reibel,FR
,Alain Baraton,FR
,Alain Cavalier,FR
,Alain Chabat,FR
,Alain Chamfort,FR
,Alain Delon,FR
,Alain Desjacques,FR
,Alain Dion,FR
,Alain Dorval,FR
,Alain Doutey,FR
,Alain Fleischer,FR
,Alain Françon,FR
,Alain Gresh,FR
,Alain Gsponer,CH
,Alain Guillo,FR
,Alain Guillon,FR
,Alain Guiraudie,FR
,Alain Lenglet,FR
,Alain Libolt,FR
,Alain Parroni,IT
,Alain Raoust,FR
,Alain Rimoux,FR
,Alan Bennett,GB
,Alan Cumming,GB
,Alan De Luca,IT
,Alan Ford,GB
,Alan Hinkes,GB
,Alan Rickman,UK
,Alan Rothwell,GB
,Alan Smithee,
,Alan Williams,GB
,Alasdair Gray,GB
,Alaska,ES
,Alassane Diago,SN
,Alauda Ruiz de Azúa,ES
,Alba Cros,ES
,Alban Teurlai,FR
,Alba Sotorra,ES
,Albert Albacete,ES
,Albert Ceray,FR
,Albert Ceray,MC
,Albert Delpy,FR
,Albert Dray,FR
,Albert Dupontel,FR
,Alberte Mera,ES
,Albert Meslay,FR
,Alberto Bellocchio,IT
,Alberto De Michele,IT
,Alberto de Toro,ES
,Alberto Di Stasio,IT
,Alberto Fasulo,IT
,Alberto Ferrari,IT
,Alberto Gadea,ES
,Alberto Gelpi,IT
,Alberto Manrique,ES
,Alberto Rizzi,IT
,Alberto Rodríguez,ES
,Alberto Santana,
,Alberto Sciamma,ES
,Alberto Vázquez,ES
,Albert Pintó,ES
,Albert Serra,ES
,Albert von Schirnding,DE
,Albrecht Schneider,DE
