film_id,nat_title,character_id,person_id,ch_age,ch_gender,ch_sexuality,ch_porigin,ch_class,ch_profession,ch_ability,assisted_mobility
IT2018_001,A casa tutti bene,IT2018_001_01,Stefania Sandrelli,4,F,HE,WWE,MC,,,N
IT2018_001,A casa tutti bene,IT2018_001_02,Ivano Marescotti,4,M,HE,WWE,MC,,,N
IT2018_002,Benedetta follia,IT2018_002_01,Carlo Verdone,3,M,HE,WWE,MC,SE,AB,N
IT2018_003,La Befana vien di notte,IT2018_003_01,Paola Cortellesi,4,F,,WWE,LC,SE,AB,N
IT2018_004,Amici come prima,IT2018_004_01,Massimo Boldi,4,M,HE,WWE,UM,SE,,N
IT2018_004,Amici come prima,IT2018_004_02,Christian De Sica,3,GF,HE,WWE,MC,EM,AB,N
IT2018_005,Moschettieri del re: La Penultima Missione,IT2018_005_01,Rocco Papaleo,3,M,HE,WWE,LC,EM,AB,N
IT2018_005,Moschettieri del re: La Penultima Missione,IT2018_005_02,Sergio Rubini,3,M,HE,WWE,LC,EM,AB,N
IT2018_006,Loro 1,IT2018_006_01,Toni Servillo,3,M,HE,WWE,UC,EM,AB,N
IT2018_006,Loro 1,IT2018_006_02,Elena Sofia Ricci,3,F,HE,WWE,UC,UN,AB,N
IT2018_008,The Leisure Seeker,IT2018_008_01,Helen Mirren,4,F,HE,WWE,LM,RE,CI,N
IT2018_008,The Leisure Seeker,IT2018_008_02,Donald Sutherland,4,M,HE,WWE,LM,RE,CI,N
IT2018_013,Loro 2,IT2018_013_01,Toni Servillo,3,M,HE,WWE,UC,EM,AB,N
IT2018_013,Loro 2,IT2018_013_02,Elena Sofia Ricci,3,F,HE,WWE,UC,UN,AB,N
IT2018_014,Puoi baciare lo sposo,IT2018_014_01,Diego Abatantuono,3,M,HE,WWE,MC,EM,AB,N
IT2018_014,Puoi baciare lo sposo,IT2018_014_02,Monica Guerritore,3,F,HE,WWE,MC,,AB,N
IT2018_015,Sono tornato,IT2018_015_01,Massimo Popolizio,2,M,HE,WWE,LM,SE,AB,N
IT2018_016,Una festa esagerata,IT2018_016_01,Vincenzo Salemme,3,M,HE,WWE,MC,EM,AB,N
IT2018_018,Arrivano i prof,IT2018_018_01,Claudio Bisio,2,M,,WWE,LM,EM,AB,N
IT2018_018,Arrivano i prof,IT2018_018_02,Maurizio Nichetti,3,M,,WWE,LM,EM,AB,N
IT2018_019,Io sono Tempesta,IT2018_019_01,Marco Giallini,3,M,HE,WWE,UM,SE,AB,N
IT2018_022,Io c'è,IT2018_022_01,Margherita Buy,2,F,,WWE,MC,SE,AB,N
IT2018_026,Sconnessi,IT2018_026_01,Fabrizio Bentivoglio,3,M,HE,WWE,MC,SE,AB,N
IT2018_030,Cosa fai a Capodanno?,IT2018_030_01,Alessandro Haber,4,M,HE,WWE,UM,EM,PD,Y
IT2018_031,Michelangelo - Infinito,IT2018_031_01,Ivano Marescotti,4,M,,WWE,MC,SE,AB,N
IT2018_032,Ricchi di fantasia,IT2018_032_01,Sergio Castellitto,3,M,HE,WWE,LM,EM,AB,N
IT2018_037,Tu mi nascondi qualcosa,IT2018_037_01,Rocco Papaleo,3,M,HE,WWE,MC,SE,TD,N
IT2018_038,Hotel Gagarin,IT2018_038_01,Claudio Amendola,2,M,HE,WWE,LM,EM,AB,N
IT2018_039,Il tuttofare,IT2018_039_01,Sergio Castellitto,3,M,HE,WWE,UM,EM,AB,N
IT2018_042,La prima pietra,IT2018_042_01,Serra Yilmaz,3,F,HE,MEA,LM,,AB,N
IT2018_042,La prima pietra,IT2018_042_02,Iaia Forte,2,F,HE,WWE,LM,,AB,N
IT2018_043,Nobili bugie,IT2018_043_01,Claudia Cardinale,4,F,HE,WWE,UC,UN,AB,N
IT2018_043,Nobili bugie,IT2018_043_02,Raffaele Pisu,4,M,HE,WWE,UC,UN,AB,N
IT2018_043,Nobili bugie,IT2018_043_03,Ivano Marescotti,3,M,HE,WWE,MC,UN,AB,N
IT2018_044,Un nemico che ti vuole bene,IT2018_044_01,Diego Abatantuono,3,M,HE,WWE,UM,EM,AB,N
IT2018_045,Achille Tarallo,IT2018_045_01,Biagio Izzo,2,M,HE,WWE,LM,EM,AB,N
IT2018_046,Bob & Marys,IT2018_046_01,Rocco Papaleo,2,M,HE,WWE,LM,EM,AB,N
IT2018_046,Bob & Marys,IT2018_046_02,Laura Morante,2,F,HE,WWE,LM,UN,AB,N
IT2018_055,Il bene mio,IT2018_055_01,Sergio Rubini,2,M,HE,WWE,LM,UN,AB,N
IT2018_066,Ovunque proteggimi,IT2018_066_01,Alessandro Gazale,2,M,HE,WWE,LC,UN,AB,N
IT2018_067,Il mio nome è Thomas,IT2018_067_01,Terence Hill,3,M,HE,WWE,LM,UN,AB,N
IT2018_068,Menocchio,IT2018_068_01,Marcello Martini,3,M,,WWE,LC,SE,AB,N
IT2018_070,In viaggio con Adele,IT2018_070_01,Alessandro Haber,3,M,HE,WWE,LM,SE,AB,N
IT2018_071,Hannah,IT2018_071_01,Charlotte Rampling,3,F,HE,WWE,LM,EM,AB,N
IT2018_077,Il ragazzo più felice del mondo,IT2018_077_01,Gian Alfonso Pacinotti Gipi,2,M,,WWE,LM,SE,AB,N
IT2018_079,Due piccoli italiani,IT2018_079_01,Paolo Sassanelli,2,M,HE,WWE,LM,UN,PD,N
IT2018_080,Resina,IT2018_080_01,Thierry Toscan,3,M,,WWE,LM,RE,AB,N
IT2018_088,Isabelle,IT2018_088_01,Ariane Ascaride,3,F,HE,WWE,MC,EM,AB,N
IT2018_099,Te lo dico pianissimo,IT2018_099_01,Lucia Vasini,3,F,HE,WWE,MC,,AB,N
