film_id,nat_title,film_country,prod_share
IT2018_001,A casa tutti bene,IT,MAJ
IT2018_002,Benedetta follia,IT,MAJ
IT2018_003,La Befana vien di notte,IT,MAJ
IT2018_003,La Befana vien di notte,ES,MIN
IT2018_004,Amici come prima,IT,MAJ
IT2018_005,Moschettieri del re: La Penultima Missione,IT,MAJ
IT2018_006,Loro 1,IT,MAJ
IT2018_006,Loro 1,FR,MIN
IT2018_007,Se son rose,IT,MAJ
IT2018_008,The Leisure Seeker,IT,MAJ
IT2018_008,The Leisure Seeker,FR,MIN
IT2018_009,Il vegetale,IT,MAJ
IT2018_010,Metti la nonna in freezer,IT,MAJ
IT2018_011,Ti presento Sofia,IT,MAJ
IT2018_012,Dogman,IT,MAJ
IT2018_012,Dogman,FR,MIN
IT2018_013,Loro 2,IT,MAJ
IT2018_013,Loro 2,FR,MIN
IT2018_014,Puoi baciare lo sposo,IT,MAJ
IT2018_015,Sono tornato,IT,MAJ
IT2018_016,Una festa esagerata,IT,MAJ
IT2018_017,Il testimone invisibile,IT,MAJ
IT2018_018,Arrivano i prof,IT,MAJ
IT2018_019,Io sono Tempesta,IT,MAJ
IT2018_020,Euforia,IT,MAJ
IT2018_021,Il vizio della speranza,IT,MAJ
IT2018_022,Io c'è,IT,MAJ
IT2018_023,Il ragazzo invisibile: Seconda generazione,IT,MAJ
IT2018_024,Notti magiche,IT,MAJ
IT2018_025,Finalmente sposi,IT,MAJ
IT2018_026,Sconnessi,IT,MAJ
IT2018_027,La fuitina sbagliata,IT,MAJ
IT2018_028,Una storia senza nome,IT,MAJ
IT2018_028,Una storia senza nome,FR,MIN
IT2018_029,Uno di famiglia,IT,MAJ
IT2018_030,Cosa fai a Capodanno?,IT,MAJ
IT2018_031,Michelangelo - Infinito,IT,MAJ
IT2018_032,Ricchi di fantasia,IT,MAJ
IT2018_033,"Santiago, Italia",IT,MAJ
IT2018_033,"Santiago, Italia",FR,MIN
IT2018_033,"Santiago, Italia",CL,MIN
IT2018_034,Sulla mia pelle. Gli ultimi sette giorni di Stefano Cucchi,IT,MAJ
IT2018_035,Lazzaro felice,IT,MAJ
IT2018_035,Lazzaro felice,CH,MIN
IT2018_035,Lazzaro felice,FR,MIN
IT2018_035,Lazzaro felice,DE,MIN
IT2018_036,Fabrizio De André: Principe libero,IT,MAJ
IT2018_037,Tu mi nascondi qualcosa,IT,MAJ
IT2018_038,Hotel Gagarin,IT,MAJ
IT2018_039,Il tuttofare,IT,MAJ
IT2018_040,Tonno spiaggiato,IT,MAJ
IT2018_041,Nome di donna,IT,MAJ
IT2018_042,La prima pietra,IT,MAJ
IT2018_043,Nobili bugie,IT,MAJ
IT2018_044,Un nemico che ti vuole bene,IT,MAJ
IT2018_044,Un nemico che ti vuole bene,CH,MIN
IT2018_045,Achille Tarallo,IT,MAJ
IT2018_046,Bob & Marys,IT,MAJ
IT2018_047,La profezia dell'armadillo,IT,MAJ
IT2018_048,Non è vero ma ci credo,IT,MAJ
IT2018_049,Hitler contro Picasso e gli altri,IT,MAJ
IT2018_049,Hitler contro Picasso e gli altri,FR,MIN
IT2018_049,Hitler contro Picasso e gli altri,DE,MIN
IT2018_050,Vengo anch'io,IT,MAJ
IT2018_051,La terra buona,IT,MAJ
IT2018_052,Tito e gli alieni,IT,MAJ
IT2018_053,La terra dell'abbastanza,IT,MAJ
IT2018_054,Si muore tutti democristiani,IT,MAJ
IT2018_055,Il bene mio,IT,MAJ
IT2018_056,Rosso Istria,IT,MAJ
IT2018_057,Figlia mia,IT,MAJ
IT2018_057,Figlia mia,DE,MIN
IT2018_057,Figlia mia,CH,MIN
IT2018_058,Una vita spericolata,IT,MAJ
IT2018_059,Malati di sesso,IT,MAJ
IT2018_060,San Valentino Stories,IT,MAJ
