film_id,nat_title,person_id,person_name,role_class
IT2018_001,A casa tutti bene,,Massimo Ghini,SUP
IT2018_001,A casa tutti bene,,Stefania Sandrelli,LEA
IT2018_001,A casa tutti bene,,Gianfelice Imparato,MIN
IT2018_001,A casa tutti bene,,Ivano Marescotti,LEA
IT2018_001,A casa tutti bene,,Sandra Milo,MIN
IT2018_002,Benedetta follia,,Carlo Verdone,LEA
IT2018_002,Benedetta follia,,Aldo De Martino,MIN
IT2018_003,La Befana vien di notte,,Paola Cortellesi,LEA
IT2018_004,Amici come prima,,Massimo Boldi,LEA
IT2018_004,Amici come prima,,Christian De Sica,LEA
IT2018_004,Amici come prima,,Claudio Abbiati,MIN
IT2018_004,Amici come prima,,Luis Molteni,MIN
IT2018_005,Moschettieri del re: La Penultima Missione,,Rocco Papaleo,LEA
IT2018_005,Moschettieri del re: La Penultima Missione,,Sergio Rubini,LEA
IT2018_005,Moschettieri del re: La Penultima Missione,,Margherita Buy,SUP
IT2018_005,Moschettieri del re: La Penultima Missione,,Alessandro Haber,MIN
IT2018_005,Moschettieri del re: La Penultima Missione,,Luis Molteni,MIN
IT2018_006,Loro 1,,Toni Servillo,LEA
IT2018_006,Loro 1,,Elena Sofia Ricci,LEA
IT2018_006,Loro 1,,Fabrizio Bentivoglio,SUP
IT2018_006,Loro 1,,Ugo Pagliai,MIN
IT2018_006,Loro 1,,Roberto Herlitzka,MIN
IT2018_006,Loro 1,,Iaia Forte,MIN
IT2018_007,Se son rose,,Sergio Pierattini,MIN
IT2018_007,Se son rose,,Nunzia Schiano,MIN
IT2018_007,Se son rose,,Alessandro Paci,MIN
IT2018_008,The Leisure Seeker,,Helen Mirren,LEA
IT2018_008,The Leisure Seeker,,Donald Sutherland,LEA
IT2018_008,The Leisure Seeker,,Dana Ivey,MIN
IT2018_008,The Leisure Seeker,,Dick Gregory,MIN
IT2018_009,Il vegetale,,Ninni Bruschetta,SUP
IT2018_009,Il vegetale,,Luciano Miele,MIN
IT2018_009,Il vegetale,,Fulvia Patrizia Oliveri,MIN
IT2018_010,Metti la nonna in freezer,,Barbara Bouchet,MIN
IT2018_010,Metti la nonna in freezer,,Eros Pagni,MIN
IT2018_011,Ti presento Sofia,,Shel Shapiro,MIN
IT2018_011,Ti presento Sofia,,Roberto Bob Messini,SUP
IT2018_012,Dogman,,Nunzia Schiano,SUP
IT2018_012,Dogman,,Francesco Acquaroli,MIN
IT2018_013,Loro 2,,Toni Servillo,LEA
IT2018_013,Loro 2,,Elena Sofia Ricci,LEA
IT2018_013,Loro 2,,Fabrizio Bentivoglio,SUP
IT2018_013,Loro 2,,Ugo Pagliai,MIN
IT2018_013,Loro 2,,Roberto Herlitzka,MIN
IT2018_013,Loro 2,,Iaia Forte,MIN
IT2018_014,Puoi baciare lo sposo,,Diego Abatantuono,LEA
IT2018_014,Puoi baciare lo sposo,,Monica Guerritore,LEA
IT2018_015,Sono tornato,,Massimo Popolizio,LEA
IT2018_015,Sono tornato,,Ariella Reggio,MIN
IT2018_015,Sono tornato,,Daniela Airoldi,MIN
IT2018_015,Sono tornato,,Giancarlo Ratti,MIN
