year,award,category,film,f/d/a,result,film_id,,,,,,,,,,,,,,,,,,,
2022,GOPO,BF,Babardeală cu bucluc sau porno balamuc,F,A,RO2021_001,,,,,,,,,,,,,,,,,,,
2022,GOPO,BF,Câmp de maci,F,N,,,,,,,,,,,,,,,,,,,,
2022,GOPO,BF,Malmkrog,F,N,,,,,,,,,,,,,,,,,,,,
2022,GOPO,BF,Neidentificat,F,N,RO2021_011,,,,,,,,,,,,,,,,,,,
2022,GOPO,BF,Otto Barbarul,F,N,RO2021_012,,,,,,,,,,,,,,,,,,,
2022,GOPO,BDF,Casa cu păpuși,D,N,RO2021_004,,,,,,,,,,,,,,,,,,,
2022,GOPO,BDF,Tatăl nostru,D,N,RO2021_008,,,,,,,,,,,,,,,,,,,
2022,GOPO,BDF,Ieșirea trenurilor din gară,D,N,,,,,,,,,,,,,,,,,,,,
2022,GOPO,BDF,"În mijlocul meu, vocea",D,N,,,,,,,,,,,,,,,,,,,,
2022,GOPO,BDF,Noi împotriva noastră,D,N,,,,,,,,,,,,,,,,,,,,
2022,GOPO,BDF,România Sălbatică,D,A,RO2021_019,,,,,,,,,,,,,,,,,,,
2022,DF,BF,Lieber Thomas,F,A,DE2021_070,,,,,,,,,,,,,,,,,,,
2022,DF,BF,Rabiye Kurnaz gegen George W. Bush,F,N,DE2022_025,,,,,,,,,,,,,,,,,,,
2022,DF,BF,Grosse Freiheit,F,N,,,,,,,,,,,,,,,,,,,,
2022,DF,BF,Contra ,F,N,DE2021_064,,,,,,,,,,,,,,,,,,,
2022,DF,BF,Spencer ,F,N,,,,,,,,,,,,,,,,,,,,
2022,DF,BF,Wunderschön,F,N,DE2022_003,,,,,,,,,,,,,,,,,,,
2022,DF,BDF,The Other Side of the River,D,A,,,,,,,,,,,,,,,,,,,,
2022,DF,BDF,We Are All Detroit - Vom Bleiben und Verschwinden,D,N,,,,,,,,,,,,,,,,,,,,
2022,DF,BDF,Wem gehört mein Dorf?,D,N,DE2021_032,,,,,,,,,,,,,,,,,,,
2023,PDD,BF,Esterno Notte,F,N,IT2022_015,,,,,,,,,,,,,,,,,,,
2023,PDD,BF,Il signore delle formiche,F,N, ,,,,,,,,,,,,,,,,,,,
2023,PDD,BF,La stranezza,F,N,IT2022_002,,,,,,,,,,,,,,,,,,,
2023,PDD,BF,Le otto montagne,F,A, ,,,,,,,,,,,,,,,,,,,
2023,PDD,BF,Nostalgia,F,N,IT2022_005,,,,,,,,,,,,,,,,,,,
2023,PDD,BDF,Il cerchio,D,A, ,,,,,,,,,,,,,,,,,,,
2023,PDD,BDF,In viaggio,D,N, ,,,,,,,,,,,,,,,,,,,
2023,PDD,BDF,Kill me if you can,D,N,IT2023_113,,,,,,,,,,,,,,,,,,,
2023,PDD,BDF,La timidezza delle chiome,D,N, ,,,,,,,,,,,,,,,,,,,
2023,PDD,BDF,Svegliami a mezzanotte,D,N, ,,,,,,,,,,,,,,,,,,,
2022,PDD,BF,Ariaferma,F,N,IT2021_038,,,,,,,,,,,,,,,,,,,
2022,PDD,BF,È Stata La Mano Di Dio,F,A,IT2021_056,,,,,,,,,,,,,,,,,,,
2022,PDD,BF,Ennio,D,N,IT2022_081,,,,,,,,,,,,,,,,,,,
2022,PDD,BF,Freaks Out,F,N,IT2021_046,,,,,,,,,,,,,,,,,,,
2022,PDD,BF,Qui Rido Io,F,N,IT2021_022,,,,,,,,,,,,,,,,,,,
2022,PDD,BDF,Atlantide,D,N, ,,,,,,,,,,,,,,,,,,,
2022,PDD,BDF,Ennio,D,A,IT2022_081,,,,,,,,,,,,,,,,,,,
2022,PDD,BDF,Futura,D,N, ,,,,,,,,,,,,,,,,,,,
2022,PDD,BDF,Marx Può Aspettare,D,N,IT2021_015,,,,,,,,,,,,,,,,,,,
2022,PDD,BDF,Onde Radicali,D,N, ,,,,,,,,,,,,,,,,,,,
2021,PDD,BF,Volevo nascondermi,F,A,IT2020_009,,,,,,,,,,,,,,,,,,,
2021,PDD,BF,Favolacce,F,N,IT2020_018,,,,,,,,,,,,,,,,,,,
2021,PDD,BF,Hammamet,F,N,IT2020_005,,,,,,,,,,,,,,,,,,,
2021,PDD,BF,Le sorelle Macaluso,F,N,IT2020_012,,,,,,,,,,,,,,,,,,,
2021,PDD,BF,Miss Marx,F,N,IT2020_013,,,,,,,,,,,,,,,,,,,
2021,PDD,BDF,Mi chiamo Francesco Totti,D,A, ,,,,,,,,,,,,,,,,,,,
2021,PDD,BDF,Faith,D,N, ,,,,,,,,,,,,,,,,,,,
2021,PDD,BDF,Notturno,D,N, ,,,,,,,,,,,,,,,,,,,
2021,PDD,BDF,Punta Sacra,D,N, ,,,,,,,,,,,,,,,,,,,
2021,PDD,BDF,The Rossellinis,D,N,IT2021_002,,,,,,,,,,,,,,,,,,,
2020,PDD,BF,Il traditore,F,A,IT2019_008,,,,,,,,,,,,,,,,,,,
2020,PDD,BF,Il primo re,F,N, ,,,,,,,,,,,,,,,,,,,
2020,PDD,BF,La paranza dei bambini,F,N,IT2019_015,,,,,,,,,,,,,,,,,,,
2020,PDD,BF,Martin Eden,F,N, ,,,,,,,,,,,,,,,,,,,
2020,PDD,BF,Pinocchio,F,N,IT2019_002,,,,,,,,,,,,,,,,,,,
2020,PDD,BDF,Selfie,D,A, ,,,,,,,,,,,,,,,,,,,
2020,PDD,BDF,Citizen Rosi,D,N, ,,,,,,,,,,,,,,,,,,,
2020,PDD,BDF,Fellini fine mai,D,N, ,,,,,,,,,,,,,,,,,,,
2020,PDD,BDF,La mafia non è più quella di una volta,D,N, ,,,,,,,,,,,,,,,,,,,
