film_id,nat_title,character_id,person_id,ch_age,ch_gender,ch_sexuality,ch_porigin,ch_class,ch_profession,ch_ability,assisted_mobility
ES2018_001,El mejor verano de mi vida,ES2018_001_01,Leo Harlem,1,M,HE,WWE,LM,SE,AB,N
ES2018_001,El mejor verano de mi vida,ES2018_001_02,Isabel Ordaz,2,F,HE,WWE,UC,UN,AB,N
ES2018_001,El mejor verano de mi vida,ES2018_001_03,Antonio Dechent,2,M,HE,WWE,UC,SE,AB,N
ES2018_001,El mejor verano de mi vida,ES2018_001_04,Gracia Olayo,2,F,HE,WWE,LM,RE,AB,N
ES2018_002,La tribu,ES2018_002_01,Carmen Machi,2,F,HE,WWE,LM,EM,AB,N
ES2018_003,Todos lo saben,ES2018_003_01,Ricardo Darín,2,M,HE,WLA,MC,EM,AB,N
ES2018_003,Todos lo saben,ES2018_003_02,Ramón Barea,3,M,HE,WWE,MC,RE,PD,Y
ES2018_003,Todos lo saben,ES2018_003_03,José Ángel Egido,3,M,,WWE,MC,SE,AB,N
ES2018_004,Ola de crímenes,ES2018_004_01,Antonio Resines,3,M,,WWE,MC,EM,AB,N
ES2018_004,Ola de crímenes,ES2018_004_02,Teresa Lozano,4,F,HE,WWE,MC,RE,PD,Y
ES2018_005,El reino,ES2018_005_01,Josep Maria Pou,3,M,HE,WWE,UC,EM,CI,N
ES2018_005,El reino,ES2018_005_02,Ana Wagener,2,F,HE,WWE,UC,EM,AB,N
ES2018_005,El reino,ES2018_005_03,Paco Revilla,3,M,,WWE,UM,EM,AB,N
ES2018_006,Miamor perdido,ES2018_006_01,Antonio Resines,3,M,,WWE,MC,EM,AB,N
ES2018_006,Miamor perdido,ES2018_006_02,Pablo Carbonell,2,M,,WWE,,,AB,N
ES2018_006,Miamor perdido,ES2018_006_03,Antonio Dechent,2,M,,WWE,,,AB,N
ES2018_006,Miamor perdido,ES2018_006_04,Javivi,2,M,,WWE,,,AB,N
ES2018_007,Tu hijo,ES2018_007_01,José Coronado,2,M,HE,WWE,UM,EM,AB,N
ES2018_007,Tu hijo,ES2018_007_02,Ana Wagener,2,F,HE,WWE,UM,EM,AB,N
ES2018_008,Petra,ES2018_008_01,Joan Botey,4,M,HE,WWE,UM,SE,AB,N
ES2018_008,Petra,ES2018_008_02,Marisa Paredes,3,F,HE,WWE,UM,UN,AB,N
ES2018_008,Petra,ES2018_008_03,Petra Martínez,4,F,HE,WWE,LM,RE,AB,N
ES2018_009,Quién te cantará,ES2018_009_01,Carme Elías,3,F,,WWE,UM,EM,AB,N
ES2018_010,La enfermedad del domingo,ES2018_010_01,Susi Sánchez,3,F,HE,WWE,UC,UN,AB,N
ES2018_010,La enfermedad del domingo,ES2018_010_02,Miguel Ángel Solá,3,M,HE,WLA,UC,,AB,N
ES2018_013,Mi querida cofradía,ES2018_013_01,Gloria Muñoz,3,F,HE,WWE,MC,SE,AB,N
ES2018_013,Mi querida cofradía,ES2018_013_02,Juan Gea,3,M,HE,WWE,MC,SE,AB,N
ES2018_013,Mi querida cofradía,ES2018_013_03,Rosario Pardo,2,F,HE,WWE,MC,,AB,N
ES2018_014,El árbol de la sangre,ES2018_014_01,Luisa Gavasa,3,F,HE,WWE,,,AB,N
ES2018_014,El árbol de la sangre,ES2018_014_02,Emilio Gutiérrez Caba,3,M,HE,WWE,MC,,AB,N
ES2018_014,El árbol de la sangre,ES2018_014_03,Ángela Molina,3,F,HE,WWE,MC,,AB,N
ES2018_014,El árbol de la sangre,ES2018_014_04,Josep Maria Pou,3,M,HE,WWE,UM,SE,AB,N
ES2018_015,Oreina,ES2018_015_01,Ramón Agirre,3,M,,WWE,LM,,AB,N
ES2018_015,Oreina,ES2018_015_02,Patxi Bisquert,3,M,HE,WWE,LC,SE,AB,N
ES2018_016,The Man Who Killed Don Quixote,ES2018_016_01,Jonathan Pryce,3,M,HE,WWE,LM,UN,CI,N
ES2018_016,The Man Who Killed Don Quixote,ES2018_016_02,Stellan Skarsgård,3,M,HE,WNA,UC,SE,AB,N
ES2018_017,En las estrellas,ES2018_017_01,Magüi Mira,4,F,,WWE,MC,,AB,N
ES2018_017,En las estrellas,ES2018_017_02,Kiti Mánver,3,F,,WWE,MC,EM,AB,N
ES2018_018,Figuras,ES2018_018_01,Stella Maris Santo,3,F,HE,WLA,MC,UN,CI,Y
ES2018_018,Figuras,ES2018_018_02,Francisco Domínguez,3,M,HE,WWE,MC,,AB,N
ES2018_019,Trote,ES2018_019_01,Celso Bugallo,3,M,HE,WWE,LM,SE,AB,N
ES2018_019,Trote,ES2018_019_02,Tatán,3,M,,WWE,LM,,AB,N
ES2018_020,Cuando dejes de quererme,ES2018_020_01,Eduardo Blanco,3,M,HE,WLA,MC,EM,AB,N
ES2018_020,Cuando dejes de quererme,ES2018_020_02,Joaquín Climent,3,M,HE,WWE,MC,EM,AB,N
ES2018_020,Cuando dejes de quererme,ES2018_020_03,Antonio Dechent,2,M,HE,WWE,UM,EM,AB,N
ES2018_020,Cuando dejes de quererme,ES2018_020_04,Kandido Uranga,3,M,,WWE,,,,N
ES2018_020,Cuando dejes de quererme,ES2018_020_05,Itziar Aizpuru,4,F,,WWE,MC,EM,AB,N
ES2018_020,Cuando dejes de quererme,ES2018_020_06,Mario Pardo,4,M,,WWE,MC,RE,AB,N
ES2018_021,Formentera Lady,ES2018_021_01,José Sacristán,4,M,HE,WWE,LC,SE,AB,N
ES2018_021,Formentera Lady,ES2018_021_02,Ferran Rañé,3,M,,WWE,LM,SE,AB,N
ES2018_021,Formentera Lady,ES2018_021_03,Juli Mira,3,M,HE,WWE,MC,RE,AB,N
ES2018_021,Formentera Lady,ES2018_021_04,Laura Pons,4,F,HE,WWE,MC,RE,AB,N
ES2018_022,Miau,ES2018_022_01,José Luis Gil,3,M,HE,WWE,MC,RE,AB,N
ES2018_022,Miau,ES2018_022_02,Luisa Gavasa,3,F,HE,WWE,MC,RE,AB,N
ES2018_022,Miau,ES2018_022_03,Manuel Manquiña,3,M,HE,WWE,LM,RE,AB,N
ES2018_022,Miau,ES2018_022_04,Álvaro de Luna,4,M,,WWE,MC,RE,AB,N
ES2018_022,Miau,ES2018_022_05,Kao Chenmin,3,M,,EAS,UM,SE,AB,N
ES2018_023,Miss Dalí,ES2018_023_01,Siân Phillips,4,F,,WWE,UM,RE,AB,N
ES2018_023,Miss Dalí,ES2018_023_02,Claire Bloom,4,F,,WWE,UM,,AB,N
ES2018_023,Miss Dalí,ES2018_023_03,Josep Maria Pou,3,M,HE,WWE,UM,SE,AB,N
ES2018_024,Sea Beasts,ES2018_024_01,Fernando Morán,3,M,,WWE,LM,SE,AB,N
ES2018_024,Sea Beasts,ES2018_024_02,Rosa Álvarez,3,F,HE,WWE,LM,RE,AB,N
ES2018_028,Los gigantes no existen,ES2018_028_01,Rafael Rojas,2,M,HE,WLA,LM,SE,AB,N
ES2018_033,"Alegría, tristeza",ES2018_033_01,Carlos Bardem,2,M,HE,WWE,MC,EM,AB,N
ES2018_033,"Alegría, tristeza",ES2018_033_02,Pedro Casablanc,2,M,,WWE,MC,EM,AB,N
ES2018_034,Sin novedad,ES2018_034_01,Fernando Guillén Cuervo,2,M,HE,WWE,MC,,AB,N
ES2018_034,Sin novedad,ES2018_034_02,Gonzalo de Castro,2,M,,WWE,UM,SE,,N
ES2018_034,Sin novedad,ES2018_034_03,Lola Casamayor,3,F,,WWE,,,,N
ES2018_035,No quiero perderte nunca,ES2018_035_01,Montse Ribadellas,3,F,,WWE,,RE,CI,N
ES2018_036,El último invierno,ES2018_036_01,José Antonio Lobato,2,M,HE,WEE,LM,,AB,N
ES2018_038,Akemarropa,ES2018_038_01,Antonio Dechent,2,M,,WWE,UM,EM,AB,N
ES2018_038,Akemarropa,ES2018_038_02,Juan Manuel Lara,3,M,,WWE,MC,EM,AB,N
ES2018_040,Blue Rai,ES2018_040_01,Fina Dómenech,3,F,,WWE,LM,RE,AB,N
ES2018_040,Blue Rai,ES2018_040_02,Ferran Lahoz,2,M,,WWE,,,AB,N
