Code,Description
ACT,Action
ADV,Adventure
ANT,Anthology Films
BIO,Biopic
CHI,Children's Film
COA,Coming of Age
COM,Comedy
COU,Courtroom Drama
CRI,Crime
DEX,Documentary – Expository mode
DIN,Documentary – Interactive mode
DIS,Disaster Film
DOB,Documentary – Observational mode
DPA,Documentary – Participatory mode
DPE,Documentary – Performative mode
DPO,Documentary – Poetic mode
DRA,Drama
DRE,Documentary – Reflexive mode
DTH,Detective Thriller
DYS,Dystopia
EXP,Experimental film 
FAN,Fantasy
HEI,Heist
HEM,Heimat
HIS,Historical film (Heritage Film)
HOR,Horror
MET,Metacinema
MOC,Mockumentary
MPF,Multi-protagonist film
MUS,Musical
NOI,Noir
ROA,Road Movie
ROM,Romance
SCI,Science Fiction
SPO,Sports Film
SPY,Spy Film
SUP,Superhero
THR,Thriller
WAR,War Film
WES,Western
