Code,Description
SOA,South Asia
WEE,White Eastern European
BEE,Black Eastern European
AEE,Asian Eastern European
BWE,Black Western European
AWE,Asian Western European
WWE,White Western European
WNA,White North American
BNA,Black North American
NNA,Native North American
ANA,Asian North American
WOC,White Oceania
AOC,Aboriginal Oceania
BLA,Black Latin American
ILA,Indigenous Latin American
WLA,White Latin American
NAF,North Africa
SAF,Subsaharian Africa
MEA,Middle East
CAS,Central Asia
EAS,East Asia
SEA,Southeast Asia
SAS,South Asia
NEU,Northern European
CEU,Central European
ROM,Roma
