film_id,nat_title,eng_title,director,release_type,release_date,film_type
ES2018_001,El mejor verano de mi vida,The Best Summer Of My Life,Dani de la Orden,THE,2018-05-23,F
ES2018_002,La tribu,The Tribe,Fernando Colomo,THE,2018-03-16,F
ES2018_003,Todos lo saben,Everybody Knows,Asghar Farhadi,THE,2018-09-14,F
ES2018_004,Ola de crímenes,Wave Of Crimes,Gracia Querejeta,THE,2018-10-05,F
ES2018_005,El reino,The Candidate,Rodrigo Sorogoyen,THE,2018-09-28,F
ES2018_006,Miamor perdido,Mylove Lost,Emilio Martínez Lázaro,THE,2018-12-14,F
ES2018_007,Tu hijo,Your Son,Miguel Ángel Vivas,THE,2018-11-09,F
ES2018_008,Petra,,Jaime Rosales,THE,2018-10-19,F
ES2018_009,Quién te cantará,Who Will Sing To You?,Carlos Vermut,THE,2018-10-26,F
ES2018_010,La enfermedad del domingo,Sunday's Illness,Ramón Salazar,THE,2018-02-23,F
ES2018_011,Mudar la piel,,"Cristóbal Fernández, Ana Schulz",THE,2018-10-04,D
ES2018_012,El silencio de otros,The Silence Of Others,Robert Bahar and Almudena Carracedo,THE,2018-11-16,D
ES2018_013,Mi querida cofradía,Hoplessly Devout,Marta Díaz de Lope Díaz,THE,2018-04-26,F
ES2018_014,El árbol de la sangre,The Tree Of Blood,Julio Medem,THE,2018-10-31,F
ES2018_015,Oreina,The Deer,Koldo Amandoz,THE,2018-09-28,F
ES2018_016,The Man Who Killed Don Quixote,,Terry Gilliam,THE,2018-06-01,F
ES2018_017,En las estrellas,Up Among The Stars,Zoe Berriatúa,THE,2018-08-31,F
ES2018_018,Figuras,Figures,Eugenio Canevari,FES,2018-09-25,F
ES2018_019,Trote,,Xacio Baño,THE,2018-12-14,F
ES2018_020,Cuando dejes de quererme,When You No Longer Love Me,Igor Legarreta,THE,2018-02-16,F
ES2018_021,Formentera Lady,,Pau Durà,THE,2018-06-29,F
ES2018_022,Miau,,Ignacio Estaregui,THE,2018-10-19,F
ES2018_023,Miss Dalí,,Ventura Pons,THE,2018-04-06,F
ES2018_024,Sea Beasts,,Felipe González,THE,2018-11-24,F
ES2018_025,Apocalipsis Voodoo,Voodoo Apocalypse,Vasni Ramos,FES,2018-11-20,F
ES2018_026,"Escoréu, 24 d'avientu de 1937",,Ramón Lluís Bande,THE,2018-05-19,D
ES2018_027,Good Bye Mister Marshall,,Ana Victoria Pérez,THE,2018-07-04,D
ES2018_028,Los gigantes no existen,Giants Don't Exist,Chema Rodríguez,THE,2018-09-28,F
ES2018_029,"Director Z, el vendedor de ilusiones",,Oskar Tejedor,THE,2018-10-26,D
ES2018_030,El pintor de Calaveras,,Sigfrid Monleón,THE,2018-04-15,D
ES2018_031,La última toma,,Jesús Ponce,THE,2018-11-26,D
ES2018_032,A palabra xusta,,Miguel Piñeiro,THE,2018-02-19,D
