film_id,nat_title,film_genre
ES2018_001,El mejor verano de mi vida,COM
ES2018_001,El mejor verano de mi vida,CHI
ES2018_001,El mejor verano de mi vida,COA
ES2018_001,El mejor verano de mi vida,ROA
ES2018_002,La tribu,COM
ES2018_003,Todos lo saben,DRA
ES2018_003,Todos lo saben,THR
ES2018_004,Ola de crímenes,COM
ES2018_004,Ola de crímenes,CRI
ES2018_005,El reino,DRA
ES2018_005,El reino,THR
ES2018_005,El reino,CRI
ES2018_005,El reino,NOI
ES2018_006,Miamor perdido,ROM
ES2018_006,Miamor perdido,COM
ES2018_007,Tu hijo,DRA
ES2018_007,Tu hijo,THR
ES2018_007,Tu hijo,NOI
ES2018_008,Petra,DRA
ES2018_008,Petra,THR
ES2018_009,Quién te cantará,DRA
ES2018_009,Quién te cantará,HOR
ES2018_010,La enfermedad del domingo,DRA
ES2018_011,Mudar la piel,DPA
ES2018_011,Mudar la piel,DPE
ES2018_011,Mudar la piel,SPY
ES2018_012,El silencio de otros,DPA
ES2018_012,El silencio de otros,DOB
ES2018_013,Mi querida cofradía,COM
ES2018_013,Mi querida cofradía,CRI
ES2018_014,El árbol de la sangre,DRA
ES2018_014,El árbol de la sangre,THR
ES2018_015,Oreina,DRA
ES2018_015,Oreina,COA
ES2018_016,The Man Who Killed Don Quixote,DRA
ES2018_016,The Man Who Killed Don Quixote,ADV
ES2018_016,The Man Who Killed Don Quixote,COM
ES2018_016,The Man Who Killed Don Quixote,ROA
ES2018_016,The Man Who Killed Don Quixote,MET
ES2018_017,En las estrellas,COA
ES2018_017,En las estrellas,DRA
ES2018_017,En las estrellas,FAN
ES2018_017,En las estrellas,MET
ES2018_017,En las estrellas,ROM
ES2018_018,Figuras,DRA
ES2018_019,Trote,DRA
ES2018_020,Cuando dejes de quererme,DRA
ES2018_020,Cuando dejes de quererme,DTH
ES2018_020,Cuando dejes de quererme,NOIR
ES2018_021,Formentera Lady,DRA
ES2018_021,Formentera Lady,COM
ES2018_022,Miau,COM
ES2018_022,Miau,HEI
ES2018_023,Miss Dalí,BIO
