film_id,nat_title,character_id,person_id,ch_age,ch_gender,ch_sexuality,ch_porigin,ch_class,ch_profession,ch_ability,,,,,,,,,,,,,,,
ES2021_001,¡A todo tren! Destino Asturias,ES2021_001_01,TBD,1,M,HE,,MC,EM,AB,,,,,,,,,,,,,,,
ES2021_001,¡A todo tren! Destino Asturias,ES2021_001_02,TBD,3,M,HE,,MC,RE,AB,,,,,,,,,,,,,,,
ES2021_002,Way Down,ES2021_002_01,TBD,2,M,,,,SE,AB,,,,,,,,,,,,,,,
ES2021_002,Way Down,ES2021_002_02,TBD,2,M,,,MC,EM,AB,,,,,,,,,,,,,,,
ES2021_002,Way Down,ES2021_002_02,TBD,4,M,,,UC,EM,,,,,,,,,,,,,,,,
ES2021_002,Way Down,ES2021_002_02,TBD,2,F,,,,,,,,,,,,,,,,,,,,
ES2021_003,Maixabel,ES2021_003_01,TBD,2,F,HE,,MC,EM,AB,,,,,,,,,,,,,,,
ES2021_003,Maixabel,ES2021_003_02,TBD,3,F,HE,,LM,RE,AB,,,,,,,,,,,,,,,
ES2021_004,La familia perfecta,ES2021_004_01,TBD,2,F,HE,,UC,,AB,,,,,,,,,,,,,,,
ES2021_004,La familia perfecta,ES2021_004_02,TBD,2,M,HE,,UC,,AB,,,,,,,,,,,,,,,
ES2021_004,La familia perfecta,ES2021_004_03,TBD,2,M,HE,,LM,,AB,,,,,,,,,,,,,,,
ES2021_005,García y García,ES2021_005_01,,1,M,HE,,UM,EM,AB,,,,,,,,,,,,,,,
ES2021_005,García y García,ES2021_005_02,,1,M,HE,,LM,EM,AB,,,,,,,,,,,,,,,
ES2021_005,García y García,ES2021_005_03,,2,M,,,,EM,AB,,,,,,,,,,,,,,,
ES2021_005,García y García,ES2021_005_04,,3,M,,,,,,,,,,,,,,,,,,,,
ES2021_005,García y García,ES2021_005_05,,1,M,,,LM,EM,AB,,,,,,,,,,,,,,,
ES2021_006,Mediterráneo,ES2021_006_01,,2,M,HE,,MC,SE,AB,,,,,,,,,,,,,,,
ES2021_006,Mediterráneo,ES2021_006_02,,2,M,,,MC,,AB,,,,,,,,,,,,,,,
ES2021_007,Libertad,ES2021_007_01,,4,F,HE,,UM,RE,PD,,,,,,,,,,,,,,,
ES2021_008,La vida era eso,ES2021_008_01,,3,F,HE,,LC,,AB,,,,,,,,,,,,,,,
ES2021_008,La vida era eso,ES2021_008_02,,3,M,HE,,,,AB,,,,,,,,,,,,,,,
ES2021_009,La abuela,ES2021_009_02,,4,F,HE,,UM,RE,PD,,,,,,,,,,,,,,,
ES2021_009,La abuela,ES2021_009_02,,3,F,,,,,,,,,,,,,,,,,,,,
ES2021_009,La abuela,ES2021_009_02,,2,F,,,,,,,,,,,,,,,,,,,,
ES2021_010,El Cover,ES2021_010_01,,2,F,,,LM,,AB,,,,,,,,,,,,,,,
ES2021_010,El Cover,ES2021_010_02,,3,M,,,LC,,AB,,,,,,,,,,,,,,,
ES2021_010,El Cover,ES2021_010_03,,3,F,,,LM,,AB,,,,,,,,,,,,,,,
ES2021_011,El sustituto,ES2021_011_01,,2,M,,,MC,EM,AB,,,,,,,,,,,,,,,
ES2021_011,El sustituto,ES2021_011_02,,2,M,,,UM,EM,AB,,,,,,,,,,,,,,,
ES2021_011,El sustituto,ES2021_011_03,,2,M,,,,,,,,,,,,,,,,,,,,
ES2021_011,El sustituto,ES2021_011_04,,3,F,HE,,MC,RE,AB,,,,,,,,,,,,,,,
ES2021_011,El sustituto,ES2021_011_05,,3,F,,,,,,,,,,,,,,,,,,,,
ES2021_012,Sis dies corrents,ES2021_012_01,,2,M,HE,,LC,EM,AB,,,,,,,,,,,,,,,
ES2021_013,Un efecto óptico,ES2021_013_01,,2,F,HE,,LM,SE,AB,,,,,,,,,,,,,,,
ES2021_013,Un efecto óptico,ES2021_013_02,,2,M,HE,,LM,SE,AB,,,,,,,,,,,,,,,
ES2021_013,Un efecto óptico,ES2021_013_03,,4,F,HE,,LM,RE,AB,,,,,,,,,,,,,,,
ES2021_017,Poliamor para principiantes,ES2021_017_01,,2,M,HE,,MC,SE,AB,,,,,,,,,,,,,,,
ES2021_019,El lodo,ES2021_019_01,,3,F,,,UC,SE,AB,,,,,,,,,,,,,,,
ES2021_019,El lodo,ES2021_019_02,,2,M,,,MC,EM,AB,,,,,,,,,,,,,,,
ES2021_019,El lodo,ES2021_019_03,,3,M,,,,EM,AB,,,,,,,,,,,,,,,
ES2021_021,Las consecuencias,ES2021_021_01,,3,F,,,,,AB,,,,,,,,,,,,,,,
ES2021_021,Las consecuencias,ES2021_021_02,,4,M,,,,,TD,,,,,,,,,,,,,,,
ES2021_021,Las consecuencias,ES2021_021_03,,2,M,HE,,,,AB,,,,,,,,,,,,,,,
ES2021_022,Nora,ES2021_022_01,,4,M,HE,,LM,RE,TD,,,,,,,,,,,,,,,
ES2021_022,Nora,ES2021_022_01,,3,M,,,,,,,,,,,,,,,,,,,,
ES2021_028,La ley del embudo,ES2021_028_01,,3,M,HE,,UC,SE,AB,,,,,,,,,,,,,,,
ES2021_028,La ley del embudo,ES2021_028_02,,3,M,,,UC,EM,AB,,,,,,,,,,,,,,,
ES2021_028,La ley del embudo,ES2021_028_03,,3,M,,,,EM,AB,,,,,,,,,,,,,,,
ES2021_029,Occidente,ES2021_029_01,,3,M,,,LC,SE,AB,,,,,,,,,,,,,,,
ES2021_030,Retrato de mujer blanca con pelo cano y arrugas,ES2021_030_01,,2,F,,,UM,RE,AB,,,,,,,,,,,,,,,
ES2021_030,Retrato de mujer blanca con pelo cano y arrugas,ES2021_030_02,,2,M,HE,,UM,,AB,,,,,,,,,,,,,,,
ES2021_030,Retrato de mujer blanca con pelo cano y arrugas,ES2021_030_03,,2,F,HE,,UM,,AB,,,,,,,,,,,,,,,
ES2021_030,Retrato de mujer blanca con pelo cano y arrugas,ES2021_030_04,,3,F,,,UM,RE,PD,,,,,,,,,,,,,,,
ES2021_032,Tristesse,ES2021_032_01,,2,M,,,UM,UN,AB,,,,,,,,,,,,,,,
ES2021_032,Tristesse,ES2021_030_02,,2,M,,,UM,SE,AB,,,,,,,,,,,,,,,
IT2021_001,Lei mi parla ancora,IT2021_001_01,Renato Pozzetto,4,M,HE,WWE,UM,RE,PD,,,,,,,,,,,,,,,
IT2021_005,Il cattivo poeta,IT2021_005_01,Sergio Castellitto,3,M,HE,WWE,UC,SE,PD,,,,,,,,,,,,,,,
IT2021_009,School of mafia,IT2021_009_01,Emilio Solfrizzi,2,M,HE,WWE,LM,SE,AB,,,,,,,,,,,,,,,
IT2021_011,Boys,IT2021_011_01,Neri Marcoré,3,M,HE,WWE,MC,SE,AB,,,,,,,,,,,,,,,
IT2021_011,Boys,IT2021_011_02,Giovanni Storti,3,M,HE,WWE,MC,SE,AB,,,,,,,,,,,,,,,
IT2021_011,Boys,IT2021_011_03,Marco Paolini,3,M,HE,WWE,MC,SE,AB,,,,,,,,,,,,,,,
IT2021_011,Boys,IT2021_011_04,Giorgio Tirabassi,3,M,HE,WWE,MC,SE,AB,,,,,,,,,,,,,,,
IT2021_014,Occhi blu,IT2021_014_01,Valeria Golino,2,F, ,WWE,MC,EM,AB,,,,,,,,,,,,,,,
IT2021_019,Il mostro della cripta,IT2021_019_01,Pasquale Lillo Petrolo,2,M, ,WWE,LM,SE,AB,,,,,,,,,,,,,,,
IT2021_020,Free - liberi,IT2021_020_01,Sandra Milo,4,F,HE,WEE,MC,RE,AB,,,,,,,,,,,,,,,
IT2021_020,Free - liberi,IT2021_020_02,Ivano Marescotti,4,M,HE,WWE,MC,RE,AB,,,,,,,,,,,,,,,
IT2021_020,Free - liberi,IT2021_020_03,Enzo Salvi,2,M,HE,WWE,MC,EM,AB,,,,,,,,,,,,,,,
IT2021_020,Free - liberi,IT2021_020_04,Corinne Cléry,3,F,HE,WWE,MC,RE,age-rel chronic illness,,,,,,,,,,,,,,,
IT2021_020,Free - liberi,IT2021_020_05,Babak Karimi,3,M,HE,MiddleEast,MC,RE,AB,,,,,,,,,,,,,,,
IT2021_020,Free - liberi,IT2021_020_06,Antonio Catania,3,M,HE,WEE,LM,SE,AB,,,,,,,,,,,,,,,
IT2021_022,Qui rido io,IT2021_022_01,Toni Servillo,2,M,HE,WWE,LM,SE,AB,,,,,,,,,,,,,,,
IT2021_025,Il silenzio grande,IT2021_025_01,Margherita Buy,2,F,HE,WWE,UM,UN,AB,,,,,,,,,,,,,,,
IT2021_028,Il buco,IT2021_028_01,Nicola Lanza,3,M, ,WWE,LC,SE,AB,,,,,,,,,,,,,,,
IT2021_029,Sulla giostra,IT2021_029_01,Lucia Sardo,3,F,HE,WWE,LM,EM,AB,,,,,,,,,,,,,,,
IT2021_032,Ai confini del male,IT2021_032_01,Massimo Popolizio,2,M,HE,WWE,MC,EM,AB,,,,,,,,,,,,,,,
IT2021_033,Con tutto il cuore,IT2021_033_01,Vincenzo Salemme,2,M,HE,WWE,MC,EM,chronic illness,,,,,,,,,,,,,,,
IT2021_034,Il materiale emotivo,IT2021_034_01,Sergio Castellitto,2,M,HE,WWE,MC,EM,AB,,,,,,,,,,,,,,,
IT2021_036,The Italian banker,IT2021_036_01,Diego Ribon,2,M,HE,WWE,UM,SE,AB,,,,,,,,,,,,,,,
IT2021_036,The Italian banker,IT2021_036_02,Fabio Sartor,3,M,HE,WWE,UM,SE,AB,,,,,,,,,,,,,,,
IT2021_036,The Italian banker,IT2021_036_03,Mirko Artuso,2,M,HE,WWE,UM,SE,AB,,,,,,,,,,,,,,,
IT2021_037,Bentornato papà,IT2021_037_01,Domenico Fortunato,2,M,HE,WWE,MC,SE,PD,,,,,,,,,,,,,,,
IT2021_038,Ariaferma,IT2021_038_01,Toni Servillo,3,M,HE,WWE,LM,EM,AB,,,,,,,,,,,,,,,
IT2021_038,Ariaferma,IT2021_038_02,Silvio Orlando,3,M,HE,WWE,LM,UN,AB,,,,,,,,,,,,,,,
IT2021_040,Medium,IT2021_040_01,Tony Sperandeo,3,M, ,WWE,LM,SE,AB,,,,,,,,,,,,,,,
IT2021_045,Una notte da dottore,IT2021_045_01,Diego Abatantuono ,3,M, ,WWE,MC,EM,AB,,,,,,,,,,,,,,,
IT2021_046,Freaks out,IT2021_046_01,Giorgio Tirabassi,2,M, ,WWE,LC,SE,AB,,,,,,,,,,,,,,,
IT2021_046,Freaks out,IT2021_046_02,Giancarlo Martini,2,M, ,WWE,LC,EM,PD,,,,,,,,,,,,,,,
IT2021_047,Io sono Babbo Natale,IT2021_047_01,Gigi Proietti,4,M, ,WWE,MC,SE,AB,,,,,,,,,,,,,,,
IT2021_047,Io sono Babbo Natale,IT2021_047_02,Marco Giallini,2,M, ,WWE,LM,UN,AB,,,,,,,,,,,,,,,
IT2021_048,Il bambino nascosto,IT2021_048_01,Silvio Orlando,3,M, ,WWE,MC,EM,AB,,,,,,,,,,,,,,,
IT2021_053,Promises,IT2021_053_01,Jean Reno,3,M, ,WWE,MC, , ,,,,,,,,,,,,,,,
