film_id,nat_title,tag_id,tag_name,,,,,,,,,,,,,,,,,,,,,,
FR2021_001,Envole-moi,2211,Parenthood,,,,,,,,,,,,,,,,,,,,,,
FR2021_001,Envole-moi,2226,Intergenerational conflict,,,,,,,,,,,,,,,,,,,,,,
FR2021_001,Envole-moi,2121,Caregiving,,,,,,,,,,,,,,,,,,,,,,
FR2021_002,L'Étreinte,2251,Grief,,,,,,,,,,,,,,,,,,,,,,
FR2021_002,L'Étreinte,2252,Loneliness,,,,,,,,,,,,,,,,,,,,,,
FR2021_002,L'Étreinte,1121,New Start,,,,,,,,,,,,,,,,,,,,,,
FR2021_002,L'Étreinte,2233,Romance,,,,,,,,,,,,,,,,,,,,,,
FR2021_002,L'Étreinte,1123,Search for Meaning,,,,,,,,,,,,,,,,,,,,,,
FR2021_002,L'Étreinte,2213,Brotherhood/Sisterhood,,,,,,,,,,,,,,,,,,,,,,
FR2021_002,L'Étreinte,2223,Intergenerational friendship,,,,,,,,,,,,,,,,,,,,,,
FR2021_002,L'Étreinte,2434,Daily Routine,,,,,,,,,,,,,,,,,,,,,,
FR2021_002,L'Étreinte,2321,Urban,,,,,,,,,,,,,,,,,,,,,,
FR2021_003,Le Dernier Voyage,2211,Parenthood,,,,,,,,,,,,,,,,,,,,,,
FR2021_005,Le Grand Secret du lien,3230,Ecology,,,,,,,,,,,,,,,,,,,,,,
FR2021_005,Le Grand Secret du lien,2225,Mentorship,,,,,,,,,,,,,,,,,,,,,,
FR2021_005,Le Grand Secret du lien,2223,Intergenerational Friendship,,,,,,,,,,,,,,,,,,,,,,
FR2021_005,Le Grand Secret du lien,2323,Natural,,,,,,,,,,,,,,,,,,,,,,
FR2021_006,Si le vent tombe,2322,Rural,,,,,,,,,,,,,,,,,,,,,,
FR2021_006,Si le vent tombe,3310,National Identity,,,,,,,,,,,,,,,,,,,,,,
FR2021_006,Si le vent tombe,3220,War,,,,,,,,,,,,,,,,,,,,,,
FR2021_007,Vers la bataille,3220,War,,,,,,,,,,,,,,,,,,,,,,
FR2021_008,Chacun chez soi,2226,Intergenerational conflict,,,,,,,,,,,,,,,,,,,,,,
FR2021_008,Chacun chez soi,2231,Marriage,,,,,,,,,,,,,,,,,,,,,,
FR2021_008,Chacun chez soi,2211,Parenthood,,,,,,,,,,,,,,,,,,,,,,
FR2021_008,Chacun chez soi,1141,May-December,,,,,,,,,,,,,,,,,,,,,,
FR2021_008,Chacun chez soi,2242,Desire,,,,,,,,,,,,,,,,,,,,,,
FR2021_009,Des hommes,2313,Trauma,,,,,,,,,,,,,,,,,,,,,,
FR2021_009,Des hommes,2311,Cultural Memory,,,,,,,,,,,,,,,,,,,,,,
FR2021_009,Des hommes,2312,Personal Memory,,,,,,,,,,,,,,,,,,,,,,
FR2021_009,Des hommes,2213,Brotherhood/Sisterhood,,,,,,,,,,,,,,,,,,,,,,
FR2021_009,Des hommes,2115,Substance Abuse (Alcohol),,,,,,,,,,,,,,,,,,,,,,
FR2021_009,Des hommes,3260,Discrimination,,,,,,,,,,,,,,,,,,,,,,
FR2021_009,Des hommes,3100,Crime,,,,,,,,,,,,,,,,,,,,,,
FR2021_009,Des hommes,2251,Grief,,,,,,,,,,,,,,,,,,,,,,
FR2021_009,Des hommes,2222,Elderhood,,,,,,,,,,,,,,,,,,,,,,
FR2021_009,Des hommes,3420,Colonialism,,,,,,,,,,,,,,,,,,,,,,
FR2021_010,Playlist,2211,Parenthood,,,,,,,,,,,,,,,,,,,,,,
FR2021_011,Villa Caprice,2421,Employment,,,,,,,,,,,,,,,,,,,,,,
FR2021_011,Villa Caprice,2411,Wealth,,,,,,,,,,,,,,,,,,,,,,
FR2021_011,Villa Caprice,2211,Parenthood,,,,,,,,,,,,,,,,,,,,,,
FR2021_011,Villa Caprice,2133,Elder Suicide,,,,,,,,,,,,,,,,,,,,,,
FR2021_011,Villa Caprice,2121,Caregiving,,,,,,,,,,,,,,,,,,,,,,
FR2021_011,Villa Caprice,2131,Natural Death,,,,,,,,,,,,,,,,,,,,,,
FR2021_011,Villa Caprice,2242,Desire,Queer,,,,,,,,,,,,,,,,,,,,,
FR2021_011,Villa Caprice,2440,Celebrity,,,,,,,,,,,,,,,,,,,,,,
FR2021_011,Villa Caprice,3110,Corruption,,,,,,,,,,,,,,,,,,,,,,
FR2021_012,'May B',2433,Artistic Creation,,,,,,,,,,,,,,,,,,,,,,
FR2021_013,L'Instant présent,2125,Well-Being,,,,,,,,,,,,,,,,,,,,,,
FR2021_013,L'Instant présent,2223,Intergenerational friendship,,,,,,,,,,,,,,,,,,,,,,
FR2021_013,L'Instant présent,2225,Mentorship,,,,,,,,,,,,,,,,,,,,,,
FR2021_013,L'Instant présent,2322,Rural,,,,,,,,,,,,,,,,,,,,,,
FR2021_014,Le Discours,2211,Parenthood,,,,,,,,,,,,,,,,,,,,,,
FR2021_014,Le Discours,2331,Independent Home,,,,,,,,,,,,,,,,,,,,,,
FR2021_016,5ème Set,2211,Parenthood,,,,,,,,,,,,,,,,,,,,,,
FR2021_017,La Nuée,2322,Rural,,,,,,,,,,,,,,,,,,,,,,
FR2021_018,Les 2 Alfred,2423,Unemployment,,,,,,,,,,,,,,,,,,,,,,
FR2021_018,Les 2 Alfred,2421,Employment,,,,,,,,,,,,,,,,,,,,,,
FR2021_019,Seize Printemps,2211,Parenthood,,,,,,,,,,,,,,,,,,,,,,
FR2021_020,Un tour chez ma fille,3250,Technology,,,,,,,,,,,,,,,,,,,,,,
