year,award,category,name,result,yob,age,gender,film,film_id,character_id,person_id
2023,GOYA,BAM,Manolo Solo,N,1964,59,M,Cerrar los ojos,ES2023_017,ES2023_017_01,
2023,GOYA,BAM,Enric Auquer,N,1988,35,M,El mestre que va prometre el mar,ES2023_011,,
2023,GOYA,BSAM,José Coronado,A,1957,66,M,Cerrar los ojos,ES2023_017,ES2023_017_02,
2023,GOYA,BSAM,Martxelo Rubio,N,1966,57,M,20.000 especies de abejas,ES2023_012,ES2023_012_03,
2023,GOYA,BSAF,Ane Gabarain,A,1963,60,F,20.000 especies de abejas,ES2023_012,ES2023_012_01,
2023,GOYA,BSAF,Itziar Lazkano,N,1957,66,F,20.000 especies de abejas,ES2023_012,ES2023_012_02,
2023,GOYA,BSAF,Ana Torrent,N,1966,57,F,Cerrar los ojos,ES2023_017,ES2023_017_03,
2023,GOYA,BSAF,Luisa Gavasa,N,1951,72,F,El mestre que va prometre el mar,ES2023_011,ES2023_011_01,
2023,GOYA,BD,Víctor Erice,N,1940,83,M,Cerrar los ojos,ES2023_017,,
2023,GOYA,BD,David Trueba,N,1969,54,M,Saben aquell,ES2023_016,,
2022,GOYA,BSAM,Luis Zahera,A,1966,56,M,As bestas,ES2022_003,ES2022_003_01,
2022,GOYA,BSAM,Ramón Barea,N,1949,73,M,Cinco lobitos,ES2022_016,ES2022_016_02,
2022,GOYA,BSAM,Fernando Tejero,N,1965,57,M,Modelo 77,ES2022_010,ES2022_010_01,
2022,GOYA,BSAF,Susi Sánchez,A,1955,67,F,Cinco lobitos,ES2022_016,ES2022_016_01,
2022,GOYA,BSAF,Carmen Machi,N,1963,59,F,Cerdita,ES2022_028,ES2022_028_01,
2022,GOYA,BD,Rodrigo Sorogoyen,A,1981,41,M,As bestas,ES2022_003,,
2022,GOYA,BD,Carla Simón,N,1986,36,F,Alcarràs,ES2022_007,,
2022,GOYA,BD,Alberto Rodríguez,N,1971,51,M,Modelo 77,ES2022_010,,
2021,GOYA,BAM,Eduard Fernández,N,1964,57,M,Mediterráneo,ES2021_006,ES2021_006_01,
2021,GOYA,BAFE,Blanca Portillo,A,1963,58,F,Maixabel,ES2021_003,ES2021_003_01,
2021,GOYA,BAFE,Petra Martínez,N,1944,77,F,La vida era eso,ES2021_008,ES2021_008_01,
2021,GOYA,BSAM,Celso Bugallo,N,1947,74,M,El buen patrón,ES2021_045,ES2021_045_02,
2021,GOYA,BSAM,Fernando Albizu,N,1963,58,M,El buen patrón,ES2021_045,ES2021_045_02,
2021,GOYA,BSAM,Manolo Solo,N,1964,57,M,El buen patrón,ES2021_045,ES2021_045_01,
2021,GOYA,BD,Fernando León de Aranoa,A,1968,53,M,El buen patrón,ES2021_045,,
2021,GOYA,BD,Manuel Martín Cuenca,N,1964,57,M,La hija,ES2021_052,,
2021,GOYA,BD,Pedro Almodóvar,N,1949,72,M,Madres paralelas,ES2021_044,,
2021,GOYA,BD,Icíar Bollaín,N,1967,54,F,Maixabel,ES2021_003,,
2020,GOYA,BAFE,Kiti Mánver,N,1953,67,F,El inconveniente,ES2020_006,ES2020_006_01,
2020,GOYA,BSAM,Sergi López,N,1965,55,M,La boda de Rosa,ES2020_004,ES2020_004_01,
2020,GOYA,BD,Salvador Calvo,A,1970,50,M,Adú,ES2020_068,,
2020,GOYA,BD,Icíar Bollaín,N,1967,53,F,La boda de Rosa,ES2020_004,,
2020,GOYA,BD,Juanma Bajo Ulloa,N,1967,53,M,Baby,ES2020_008,,
2020,GOYA,BD,Isabel Coixet,N,1960,60,F,Nieva en Benidorm,ES2020_010,,
2019,GOYA,BAM,Antonio Banderas,A,1960,59,M,Dolor y gloria,ES2019_003,ES2019_003_01,
2019,GOYA,BAM,Karra Elejalde,N,1960,59,M,Mientras dure la guerra,ES2019_002,ES2019_002_01,
2019,GOYA,BSAM,Eduard Fernández,A,1964,55,M,Mientras dure la guerra,ES2019_002,ES2019_002_02,
2019,GOYA,BSAF,Julieta Serrano,A,1933,86,F,Dolor y gloria,ES2019_003,ES2019_003_02,
2019,GOYA,BD,Pedro Almodóvar,A,1949,70,M,Dolor y gloria,ES2019_003,,
2019,GOYA,BD,Óliver Laxe,N,1982,37,M,O que arde,ES2019_013,,
2019,GOYA,BD,Alejandro Amenábar,N,1972,47,M,Mientras dure la guerra,ES2019_002,,
2018,GOYA,BAM,José Coronado,N,1957,61,M,Tu hijo,ES2018_007,ES2018_007_01,
2018,GOYA,BAFE,Susi Sánchez,A,1955,63,F,La enfermedad del domingo,ES2018_010,ES2018_010_01,
2018,GOYA,BSAM,Juan Margallo,N,1940,78,M,Campeones,ES2018_069,ES2018_069_01,
2018,GOYA,BSAM,Eduard Fernández,N,1964,54,M,Everybody Knows,ES2018_003,,
2018,GOYA,BSAF,Carolina Yuste,A,1991,27,F,Carmen y Lola,,,
2018,GOYA,BSAF,Anna Castillo,N,1993,25,F,Viaje al cuarto de una madre,ES2018_082,,
2018,GOYA,BSAF,Ana Wagener,N,1962,56,F,El reino,ES2018_005,ES2018_005_02,
2018,GOYA,BD,Rodrigo Sorogoyen,A,1981,37,M,El reino,ES2018_005,,
2018,GOYA,BD,Javier Fesser,N,1964,54,M,Campeones,ES2018_069,,
2018,GOYA,BD,Asghar Farhadi,N,1972,46,M,Everybody Knows,ES2018_003,,
2017,GOYA,BSAM,Bill Nighy,N,1949,68,M,The Bookshop,ES2017_004,ES2017_004_01,
2017,GOYA,BSAF,Adelfa Calvo,A,1962,55,F,El autor,ES2017_030,ES2017_030_01,
2017,GOYA,BD,Isabel Coixet,A,1960,57,F,The Bookshop,ES2017_004,,
2017,GOYA,BD,Aitor Arregi,N,1977,40,M,Handia,ES2017_029,,
2017,GOYA,BD,Jon Garaño,N,1974,43,M,Handia,ES2017_029,,
2017,GOYA,BD,Manuel Martín Cuenca,N,1964,53,M,El autor,ES2017_030,,
2017,GOYA,BD,Paco Plaza,N,1973,44,M,Verónica,ES2017_022,,
2016,GOYA,BSAM,Karra Elejalde,N,1960,56,M,100 metros,ES2016_007,ES2016_006_01,
2016,GOYA,BSAF,Terele Pávez,N,1939,77,F,La puerta abierta,ES2016_014,ES2016_014_01,
2016,GOYA,BSAF,Sigourney Weaver,N,1949,67,F,A Monster Calls,ES2016_001,ES2016_001_01,
2016,GOYA,BD,Juan Antonio Bayona,A,1975,41,M,A Monster Calls,ES2016_001,,
2016,GOYA,BD,Pedro Almodóvar,N,1949,67,M,Julieta,ES2016_005,,
2016,GOYA,BD,Alberto Rodríguez,N,1971,45,M,El hombre de las mil caras,ES2016_004,,
2016,GOYA,BD,Rodrigo Sorogoyen,N,1981,35,M,Que Dios nos perdone,ES2016_009,,
2015,GOYA,BAM,Ricardo Darín,A,1957,58,M,Truman,ES2015_004,ES2015_004_01,
2015,GOYA,BSAM,Felipe García Vélez,N,1957,58,M,A cambio de nada,ES2015_009,ES2015_009_02,
2015,GOYA,BSAM,Tim Robbins,N,1958,57,M,A perfect day,ES2015_007,ES2015_007_01,
2015,GOYA,BSAF,Luisa Gavasa,A,1951,64,F,La novia,ES2015_010,ES2015_010_01,
2015,GOYA,BD,Cesc Gay,A,1967,48,M,Truman,ES2015_004,,
2015,GOYA,BD,Paula Ortiz,N,1979,36,F,La novia,ES2015_010,,
2015,GOYA,BD,Isabel Coixet,N,1960,55,F,Nadie quiere la noche,ES2015_023,,
2015,GOYA,BD,Fernando León de Aranoa,N,1968,47,M,A perfect day,ES2015_007,,
