person_name,person_nat
A.C. Wharton,US
A.L. Kennedy,GB
Aaron Brookner,US
Aaron Miller,US
Aaron Moser,DE
Abbes Zahmani,DZ
Abdel Aziz El Mountassir,MA
Abdel Hafed Benotman,DZ
Abdel Raouf Dafri,FR
Abdelkrim Bahloul,DZ
Abdellatif Kechiche,FR
Abdellatif Kechiche,TN
Abderrazek Jazi,TN
Abdulah Sidran,BA
Abedi Pelé,GH
Abel Ferrara,US
Abel Folk,ES
Abel Jafri,FR
Abiodun Oyewole,US
Abisag Tüllmann,DE
Abraham Ascher,DE
Abraham Ascher,US
Abraham Cohen,FR
Abraham Segal,FR
Achero Mañas,ES
Achill Moser,DE
Achille Brugnini,IT
Achille Sidoti,IT
Achim Hübner,DE
Ada Loueilh,FR
Ada Solomon,RO
Adalberto Maria Merli,IT
Ádám Breier,HU
Ádám Császi,HU
Adam Deacon,GB
Adam Gunn,US
Adam Low,GB
Ádám Nádasdy,HU
Adam Oldroyd,GB
Adam Park,GB
Adam Parr,GB
Adam Puslojić,RS
Ádám Rajhona,HU
Ádám Rajhona,RO
Adam Smith,GB
Ádám Tősér,HU
Adél Kováts,HU
Adele Corradi,IT
Adelfa Calvo,ES
Adeline Picault,FR
Adil Azzab,MA
Adina Cristescu,RO
Adina Pintilie,RO
Adina Popescu,RO
Adnane Tragha,FR
Adolfo Arrieta,ES
Adolfo Assor,CL
Adolfo Dufour,ES
Adolfo Margiotta,IT
Adolpha van Meerhaeghe,FR
Adria Garcia,ES
Adrian Belew,GB
Adrian Ciobanu,RO
Adrian Dunbar,GB
Adrian Edmondson,UK
Adrian Enache,RO
Adrian Frieling,DE
Adrian Goiginger,AT
Adrian Hood,GB
Adrian Lester,GB
Adrian McLoughlin,GB
Adrian Munteanu,RO
Adrian Noble,GB
Adrian Păduraru,RO
Adrian Popovici,RO
Adrian Porumboiu,RO
Adrian Rawlins,GB
Adrian Schiller,GB
Adrian Shergold,GB
Adrian Sherwood,GB
Adrián Silvestre,ES
Adrian Sitaru,RO
Adrian Titieni,RO
Adriana Altaras,DE
Adriana Altaras,CR
Adriana Asti,IT
Adriana Băilescu,RO
Adriana Hölszky,RO
Adriana Ozores,ES
Adriana Trandafir,RO
Adriano Aprà,IT
Adriano Chiaramida,IT
Adriano Cutraro,IT
Adriano Giraldi,IT
Adriano Morelli,IT
Adriano Pappalardo,IT
Adriano Sforzi,IT
Adriano Valerio,IT
Adrien Juncker,FR
Adrien Piquet-Gauthier,FR
Adrien Soland,FR
Adrienne Barbeau,US
Aelrun Goette,DE
Affif Ben Badra,FR
Agathe Taffertshofer,DE
Ági Margitai,HU
Ági Szirtes,HU
Ági Voith,HU
Ágnes Bánfalvy,HU
Agnès Fouilleux,FR
Agnès Godard,FR
Agnes Hardorp,DE
Agnès Jaoui,FR
Ágnes Keleti,HU
Ágnes Lőrincz,HU
Ágnes Lőrincz,RO
Ágnes Losonczi,HU
Ágnes Máhr,HU
Agnès Soral,FR
Agnès Soral,CH
Ágnes Sós,HU
Agnès Troublé,FR
Agnès Varda,BE
Ágota Varga,HU
Agustí Vila,ES
Agustí Villaronga,ES
Agustín Almodóvar,ES
Agustín Díaz Yanes,ES
Ahmed Benaïssa,FR
Ahmed Benaïssa,DZ
Ahmed Hafiene,TN
Ahmed Hamidi,FR
Ahuva Sommerfeld,IS
Ai Weiwei,CN
Aida Bukvić,HR
Aileen Henry,IE
Aiman Abdallah,DE
Áine Uí Cheallaigh,IE
Ainhoa Arteta,ES
Ainhoa Rodríguez,ES
Aislinn Clarke,IE
Aïssa Maïga,FR
Aitana Sánchez-Gijón,ES
Aitor Arregi,ES
Aitor López de Aberásturi,ES
Aitor Merino,ES
Aitzpea Goenaga,ES
Ajmer Singh,IN
Ajoy Bose,IN
Aki Kaurismäki,FI
Akiko Hitomi,JP
Akilas Karazisis,GR
Akissi Delta,CI
Akiz,DE
Ákos Badits,HU
Ákos Barnóczky,HU
Ákos Birkás,HU
Ákos Horváth,HU
Ákos Kőszegi,HU
Al Ginter,LU
Al Gore,US
Aladár Horváth,HU
Aladin Reibel,FR
Alain Attal,FR
Alain Baraton,FR
Alain Beigel,FR
Alain Cavalier,FR
Alain Chabat,FR
Alain Chamfort,FR
Alain Choquart,FR
Alain Choquet,FR
Alain Corneau,FR
Alain Delon,FR
Alain Desjacques,FR
