film_id,nat_title,person_id,person_name,person_role
ES2018_001,El mejor verano de mi vida,,Dani de la Orden,DIR
ES2018_001,El mejor verano de mi vida,,Leo Harlem,LEA
ES2018_001,El mejor verano de mi vida,,Isabel Ordaz,SUP
ES2018_001,El mejor verano de mi vida,,Antonio Dechent,SUP
ES2018_001,El mejor verano de mi vida,,Gracia Olayo,SUP
ES2018_001,El mejor verano de mi vida,,Juana Cordero,MIN
ES2018_002,La tribu,,Fernando Colomo,DIR
ES2018_002,La tribu,,Fernando Colomo,SCR
ES2018_002,La tribu,,Fernando Colomo,MIN
ES2018_002,La tribu,,Carmen Machi,LEA
ES2018_003,Todos lo saben,,Asghar Farhadi,DIR
ES2018_003,Todos lo saben,,Ricardo Darín,LEA
ES2018_003,Todos lo saben,,Ramón Barea,SUP
ES2018_003,Todos lo saben,,José Ángel Egido,SUP
ES2018_004,Ola de crímenes,,Gracia Querejeta,DIR
ES2018_004,Ola de crímenes,,Antonio Resines,SUP
ES2018_004,Ola de crímenes,,Teresa Lozano,SUP
ES2018_004,Ola de crímenes,,Txema Blasco,MIN
ES2018_005,El reino,,Rodrigo Sorogoyen,DIR
ES2018_005,El reino,,Josep Maria Pou,SUP
ES2018_005,El reino,,Ana Wagener,SUP
ES2018_005,El reino,,Andrés Lima,MIN
ES2018_005,El reino,,Paco Revilla,SUP
ES2018_006,Miamor perdido,,Emilio Martínez Lázaro,DIR
ES2018_006,Miamor perdido,,Antonio Resines,SUP
ES2018_006,Miamor perdido,,Pablo Carbonell,SUP
ES2018_006,Miamor perdido,,Antonio Dechent,SUP
ES2018_006,Miamor perdido,,Javivi,SUP
ES2018_007,Tu hijo,,Miguel Ángel Vivas,DIR
ES2018_007,Tu hijo,,José Coronado,LEA
ES2018_007,Tu hijo,,Ana Wagener,SUP
ES2018_008,Petra,,Jaime Rosales,DIR
ES2018_008,Petra,,Joan Botey,SUP
ES2018_008,Petra,,Marisa Paredes,SUP
ES2018_008,Petra,,Petra Martínez,SUP
ES2018_009,Quién te cantará,,Carlos Vermut,DIR
ES2018_009,Quién te cantará,,Carme Elías,SUP
ES2018_010,La enfermedad del domingo,,Ramón Salazar,DIR
ES2018_010,La enfermedad del domingo,,Susi Sánchez,LEA
ES2018_010,La enfermedad del domingo,,Miguel Ángel Solá,SUP
ES2018_010,La enfermedad del domingo,,Ima Ranedo,MIN
ES2018_011,Mudar la piel,,Cristóbal Fernández,DIR
ES2018_011,Mudar la piel,,Ana Schulz,DIR
ES2018_012,El silencio de otros,,Robert Bahar,DIR
ES2018_012,El silencio de otros,,Almudena Carracedo,DIR
ES2018_012,El silencio de otros,,María Martín,DOC
ES2018_012,El silencio de otros,,José María Galante,DOC
ES2018_012,El silencio de otros,,Carlos Slepoy,DOC
ES2018_012,El silencio de otros,,Maria Servini,DOC
ES2018_012,El silencio de otros,,Ana Messuti,DOC
ES2018_013,Mi querida cofradía,,Marta Díaz de Lope Díaz,DIR
ES2018_013,Mi querida cofradía,,Gloria Muñoz,LEA
ES2018_013,Mi querida cofradía,,Juan Gea,SUP
ES2018_013,Mi querida cofradía,,Rosario Pardo,SUP
ES2018_013,Mi querida cofradía,,Juan Motilla,MIN
ES2018_013,Mi querida cofradía,,Antonio Estrada,MIN
ES2018_013,Mi querida cofradía,,José María Peña,MIN
ES2018_013,Mi querida cofradía,,Pepe Salas,MIN
ES2018_014,El árbol de la sangre,,Julio Medem,DIR
ES2018_014,El árbol de la sangre,,Luisa Gavasa,SUP
ES2018_014,El árbol de la sangre,,Emilio Gutiérrez Caba,SUP
ES2018_014,El árbol de la sangre,,Ángela Molina,SUP
ES2018_014,El árbol de la sangre,,Josep Maria Pou,SUP
ES2018_014,El árbol de la sangre,,Mariano Venancio,MIN
ES2018_015,Oreina,,Koldo Amandoz,DIR
ES2018_015,Oreina,,Ramón Agirre,SUP
ES2018_015,Oreina,,Patxi Bisquert,SUP
ES2018_016,The Man Who Killed Don Quixote,,Terry Gilliam,DIR
ES2018_016,The Man Who Killed Don Quixote,,Jonathan Pryce,LEA
ES2018_016,The Man Who Killed Don Quixote,,Stellan Skarsgård,SUP
ES2018_017,En las estrellas,,Zoe Berriatúa,DIR
ES2018_017,En las estrellas,,Magüi Mira,SUP
