id,type,slug,name,birthYear,deathYear,nationality,gender,character,director
A.C. Wharton,Person,a-c-wharton,A.C. Wharton,1944,0,United States of America (the),Male identifying,,
A.L. Kennedy,Person,a-l-kennedy,A.L. Kennedy,1965,0,United Kingdom of Great Britain and Northern Ireland (the),Male identifying,,
Aaron Miller,Person,aaron-miller,Aaron Miller,0,0,United States of America (the),Male identifying,,
Aaron Moser,Person,aaron-moser,Aaron Moser,0,0,Germany,Male identifying,,
Abbes Zahmani,Person,abbes-zahmani,Abbes Zahmani,1961,0,Algeria,Male identifying,,
Abdel Aziz El Mountassir,Person,abdel-aziz-el-mountassir,Abdel Aziz El Mountassir,1958,0,Morocco,Male identifying,"[{'ability': 'Able-bodied', 'age': '3: Third Age (60-75)', 'assistedMobility': 'No', 'class': 'Middle class', 'film': {'filmType': 'Fiction film', 'genre': 'Courtroom Drama', 'id': 'ES2020_058', 'production': {'country': 'Spain', 'share': 'Majority coproducer'}, 'release': {'type': 'Theatrical release', 'year': 2011}, 'slug': 'es2020-058-la-dona-il-legal', 'tags': 'gender discrimination', 'title': {'english': 'Illegal Woman', 'native': 'La dona il·legal'}}, 'gender': 'Male identifying', 'id': 'ES2020_058_03', 'origin': 'North Africa', 'profession': 'Self-employed', 'role': 'Unknown', 'sexuality': 'Unknown'}]",
Abdel Raouf Dafri,Person,abdel-raouf-dafri,Abdel Raouf Dafri,1964,0,France,Male identifying,,"[{'filmType': 'Fiction film', 'genre': 'War Film', 'id': 'FR2020_011', 'production': {'country': 'France', 'share': 'Majority coproducer'}, 'release': {'type': 'Theatrical release', 'year': 2020}, 'slug': 'fr2020-011-qu-un-sang-impur', 'tags': 'mentorship', 'title': {'english': 'The Breitner Commando', 'native': ""Qu'un sang impur...""}}]"
Abdelkrim Bahloul,Person,abdelkrim-bahloul,Abdelkrim Bahloul,1950,0,Algeria,Male identifying,"[{'ability': 'Able-bodied', 'age': '3: Third Age (60-75)', 'assistedMobility': 'No', 'class': 'Lower Middle class', 'film': {'filmType': 'Fiction film', 'genre': 'Thriller', 'id': 'GB2018_044', 'production': {'country': 'France', 'share': 'Minority coproducer'}, 'release': {'type': 'Theatrical release', 'year': 2018}, 'slug': 'gb2018-044-waiting-for-you', 'tags': 'crime', 'title': {'english': '', 'native': 'Waiting for You'}}, 'gender': 'Male identifying', 'id': 'GB2018_044_02', 'origin': 'North Africa', 'profession': 'Employed', 'role': 'Unknown', 'sexuality': 'Unknown'}]",
Abdellatif Kechiche,Person,abdellatif-kechiche,Abdellatif Kechiche,1960,0,France,Male identifying,,"[{'filmType': 'Fiction film', 'genre': 'Romance', 'id': 'FR2018_051', 'production': {'country': 'France', 'share': 'Majority coproducer'}, 'release': {'type': 'Theatrical release', 'year': 2018}, 'slug': 'fr2018-051-mektoub-my-love-canto-uno', 'tags': 'parenthood', 'title': {'english': 'Mektoub, My Love: Canto Uno', 'native': 'Mektoub, My Love : Canto Uno'}}]"
Abel Ferrara,Person,abel-ferrara,Abel Ferrara,1951,0,United States of America (the),Male identifying,,"[{'filmType': 'Fiction film', 'genre': 'Action', 'id': 'DE2021_077', 'production': {'country': 'Germany', 'share': 'Majority coproducer'}, 'release': {'type': 'Theatrical release', 'year': 2021}, 'slug': 'de2021-077-zeros-and-ones', 'tags': 'urban', 'title': {'english': 'Zeros and Ones', 'native': 'Zeros and Ones'}}, {'filmType': 'Fiction film', 'genre': 'Drama', 'id': 'IT2020_035', 'production': {'country': 'Greece', 'share': 'Minority coproducer'}, 'release': {'type': 'Theatrical release', 'year': 2020}, 'slug': 'it2020-035-siberia', 'tags': 'search for meaning', 'title': {'english': '', 'native': 'Siberia'}}, {'filmType': 'Documentary', 'genre': 'Documentary – Performative mode', 'id': 'FR2018_130', 'production': {'country': 'France', 'share': 'Majority coproducer'}, 'release': {'type': 'Theatrical release', 'year': 2018}, 'slug': 'fr2018-130-alive-in-france', 'tags': 'homosociality', 'title': {'english': 'Alive in France', 'native': 'Alive in France'}}]"
Abel Jafri,Person,abel-jafri,Abel Jafri,1965,0,France,Male identifying,,
Abraham Cohen,Person,abraham-cohen,Abraham Cohen,1976,0,France,Male identifying,,"[{'filmType': 'Documentary', 'genre': 'Documentary – Observational mode', 'id': 'FR2019_211', 'production': {'country': 'France', 'share': 'Majority coproducer'}, 'release': {'type': 'Theatrical release', 'year': 2019}, 'slug': 'fr2019-211-ceux-qui-nous-restent-chronique-d-un-cinema-en-lutte', 'tags': 'urban', 'title': {'english': '', 'native': ""Ceux qui nous restent (Chronique d'un cinéma en lutte)""}}]"
Achero Mañas,Person,achero-manas,Achero Mañas,1966,0,Spain,Male identifying,,"[{'filmType': 'Fiction film', 'genre': 'Heist', 'id': 'ES2020_067', 'production': {'country': 'Spain', 'share': 'Majority coproducer'}, 'release': {'type': 'Theatrical release', 'year': 2020}, 'slug': 'es2020-067-un-mundo-normal', 'tags': 'grief', 'title': {'english': 'A Normal World', 'native': 'Un mundo normal'}}]"
Achill Moser,Person,achill-moser,Achill Moser,1954,0,Germany,Male identifying,,"[{'filmType': 'Documentary', 'genre': 'Documentary – Expository mode', 'id': 'DE2020_003', 'production': {'country': 'Germany', 'share': 'Majority coproducer'}, 'release': {'type': 'Theatrical release', 'year': 2020}, 'slug': 'de2020-003-mein-vater-mein-sohn-und-der-kilimandscharo', 'tags': 'personal trauma', 'title': {'english': '', 'native': 'Mein Vater, Mein Sohn Und Der Kilimandscharo'}}]"
Achille Sidoti,Person,achille-sidoti,Achille Sidoti,0,0,Italy,Male identifying,,
Ada Solomon,Person,ada-solomon,Ada Solomon,1968,0,Romania,Female identifying,,
Adalberto Maria Merli,Person,adalberto-maria-merli,Adalberto Maria Merli,1938,0,Italy,Male identifying,,
Adam Deacon,Person,adam-deacon,Adam Deacon,1983,0,United Kingdom of Great Britain and Northern Ireland (the),Male identifying,,"[{'filmType': 'Fiction film', 'genre': 'Crime', 'id': 'GB2023_009', 'production': {'country': 'United Kingdom of Great Britain and Northern Ireland (the)', 'share': 'Majority coproducer'}, 'release': {'type': 'Theatrical release', 'year': 2023}, 'slug': 'gb2023-009-sumotherhood', 'tags': 'abuse', 'title': {'english': '', 'native': 'Sumotherhood'}}]"
Adam Gunn,Person,adam-gunn,Adam Gunn,1966,0,United States of America (the),Male identifying,,"[{'filmType': 'Fiction film', 'genre': 'Fantasy', 'id': 'DE2022_036', 'production': {'country': 'Germany', 'share': 'Majority coproducer'}, 'release': {'type': 'Theatrical release', 'year': 2022}, 'slug': 'de2022-036-mia-and-me-the-hero-of-centopia', 'tags': 'supernatural entity', 'title': {'english': '', 'native': 'Mia and Me: The Hero of Centopia'}}]"
Adam Oldroyd,Person,adam-oldroyd,Adam Oldroyd,0,0,United Kingdom of Great Britain and Northern Ireland (the),Male identifying,,"[{'filmType': 'Fiction film', 'genre': 'Heist', 'id': 'GB2022_061', 'production': {'country': 'United Kingdom of Great Britain and Northern Ireland (the)', 'share': 'Majority coproducer'}, 'release': {'type': 'Theatrical release', 'year': 2022}, 'slug': 'gb2022-061-sideshow', 'tags': 'self-employment', 'title': {'english': '', 'native': 'Sideshow'}}]"
