filmId,title,titleEn,director,releaseType,releaseDate,type,releaseYear,directorName,directorBirthYear,directorDeathYear,directorGender,directorNationality,genre,trailerUrl,posterUrl,synopsis,synopsisEn,country,productionShare,tags,charId,perId,charAge,charGender,charSexuality,charOrigin,charClass,charProfession,charAbility,assistedMobility,perName,perBirthYear,perDeathYear,perGender,perNationality,perRole
DE2018_001,Lux: Krieger des Lichts,Lux: Warrior of Light,Daniel Wild,THE,2018-01-04,F,2018,Daniel Wild,0,0,M,,DRA,https://www.youtube.com/watch?v=ZSfd1TY9Tls&ab_channel=epdFilm,https://www.imdb.com/title/tt7637968/mediaviewer/rm211377664/?ref_=tt_ov_i,"Torsten Kachel (Franz Rogowski) versucht, in der Gestalt seines Alter Egos „Lux - Krieger des Lichts“ die Welt zu verbessern und dadurch seinen eigenen Platz im Leben zu finden. Ein Filmteam will eine Doku über das soziale Engagement des selbsternannten „Real Life Superhero“ drehen, findet jedoch keinen Geldgeber. Erst der windige Produzent Brandt (Heiko Pinkowski) ist bereit, Geld in das Projekt von Regisseur Jan (Tilman Strauß) zu investieren, wenn er dafür aber auch etwas zu sehen bekommt: Lux soll weg von der sozialen Schiene und mehr gegen echte Verbrecher kämpfen. Widerwillig und nicht gerade erfolgreich lässt Lux sich auf das Vorhaben ein, entfernt sich dadurch aber immer mehr von seinen eigentlichen Zielen. Als die Stripperin Kitty (Kristin Suckow) in Not gerät, will Lux endlich beweisen, was in ihm steckt – doch dann geht alles gehörig schief…","It is the story of a young man who moves out to do good. But instead of changing the world, it changes him.",DE,MAJ,"['urban', 'grandmotherhood', 'intergenerational friendship']",,,,,,,,,,,,0,0,,,
DE2018_002,Ein Weg,Paths,Chris Miera,THE,2018-01-11,F,2018,Chris Miera,1986,0,M,DE,"['ROM', 'DRA']",https://www.youtube.com/watch?v=wE2o9hUhrKo&ab_channel=Filmuniversit%C3%A4tBabelsbergKONRADWOLF,https://www.imdb.com/title/tt5954892/mediaviewer/rm2544323328/?ref_=tt_ov_i,"Andreas (Mike Hoffmann) und Martin (Mathis Reinhardt) leben in einem kleinen Ort in Thüringen. Ihr gemeinsamer Sohn Max (Cai Cohrs) ist endlich aus dem Haus, in Andreas‘ Tischlerwerkstatt läuft es neuerdings wieder besser und Martin muss nicht mehr so viel beruflich verreisen wie früher – einem Novemberurlaub als Paar an der Ostsee steht also nichts im Weg. Doch im Unterschied zu ihren bisherigen Reisen stellt sich der Trip zunächst als weniger schön als gedacht heraus. Martin stört das kalte, regnerische Herbstwetter total und er wünscht sich deswegen zurück nach Thüringen. Andreas hingegen geht selbst bei schlechtestem Wetter schwimmen und bereitet seinem Mann damit Kummer und Sorgen. Zurück in ihrem Ferienhaus versuchen die beiden ihre unterschiedlichen Erwartungen auf einen gemeinsamen Nenner zu bringen und sich wieder anzunähern…","How long is an eternity? A few years or just a breaking of the waves at the rugged Baltic coast? Andreas and Martin share all the ups and downs of life, and their son is maturing. A cautious approach to the traces of a long relationship.",DE,MAJ,,,,,,,,,,,,,0,0,,,
DE2018_003,"Hilfe, ich hab meine Eltern geschrumpft","Help, I Shrunk My Parents",Tim Trageser,THE,2018-01-18,F,2018,Tim Trageser,1969,0,M,DE,"['FAN', 'ADV', 'ACT', 'CHI', 'COA', 'COM']",https://www.imdb.com/video/vi3829120793/?playlistId=tt6818140&ref_=tt_ov_ov_vi,https://www.imdb.com/title/tt6818140/mediaviewer/rm3786060289/?ref_=tt_ov_i,"Für Felix (Oskar Keymer) läuft es eigentlich mittlerweile richtig gut am Otto-Leonhard-Gymnasium, wo noch immer der Geist des gleichnamigen Schulgründers (Otto Waalkes) herumspukt. Doch zu dem wohlwollenden Gespenst gesellt sich zum Leidwesen der Schüler auch der Geist der garstigen ehemaligen Direktorin Hulda Stechbarth (Andrea Sawatzki). Und auch zu Hause liegen die Dinge im Argen: Felix‘ Eltern Peter (Axel Stein) und Sandra (Julia Hartmann) wollen mit ihm nach Dubai ziehen, wo sein Vater ein neues Jobangebot hat. Felix wünscht sich, dass seine Eltern auch mal das tun, was er will, und wie zuvor geht dieser Wunsch prompt in Erfüllung, als Mama und Papa nach einer Begegnung mit der wiederauferstandenen Hulda geschrumpft werden. Fortan muss sich Felix nicht nur um seine winzigen Eltern kümmern, sondern auch erneut die Schule retten, denn Hulda hat die aktuelle Direktorin Dr. Schmitt-Gössenwein (Anja Kling) gefangengenommen und möchte die ganze Schule in ihre Gewalt bringen…","When the wicked headmistress Stingbeard hunts the school, Felix, Ella and their gang set their plan in motion to save the school and bring Felix's parents back to their original size.",DE,MAJ,supernatural entity,,,,,,,,,,,,0,0,,,
DE2018_004,Hot Dog,Hot Dog,Torsten Künstler,THE,2018-01-18,F,2018,Torsten Künstler,1969,0,M,DE,"['DTH', 'ACT', 'MPF', 'COM']",https://www.imdb.com/video/vi2091170585/?playlistId=tt6284564&ref_=tt_ov_ov_vi,https://www.imdb.com/title/tt6284564/mediaviewer/rm2516934400/?ref_=tt_ov_i,"Auf den ersten Blick verbindet Luke (Til Schweiger) und Theo (Matthias Schweighöfer) nicht viel miteinander. Luke, ein GSG-10-Ermittler, beseitigt Probleme am liebsten mit roher Gewalt. Der schüchterne Theo, der endlich kein Schreibtisch-Polizist mehr sein will, verlässt sich auf seinen scharfen Verstand. Und dennoch sind die beiden gegensätzlichen Männer zur Zusammenarbeit gezwungen, als es gilt, die entführte Präsidententochter Mascha (Lisa Tomaschewsky) zu befreien. Bei ihrer Rettungsaktion im Alleingang hinterlassen sie eine gewaltige Spur der Verwüstung und denken gar nicht daran, Gefangene zu machen. Trotzdem kommen sie gemeinsam mit der Hackerin Nicki (Anne Schäfer) einer Verschwörung auf die Spur – als sie entdecken, dass sich hinter der Entführung Maschas viel mehr verbirgt als eine reine Lösegeldforderung…",A pair of Tactical Units Police Officers from different walks of life come together to rescue an ambassador's daughter.,DE,MAJ,"['rescue mission', 'homosociality', 'intergenerational friendship']",DE2018_004_01,Til Schweiger,2,M,HE,WWE,MC,EM,AB,N,Til Schweiger,1963,0,M,DE,
DE2018_005,Die Anfängerin,,Alexandra Sell,THE,2018-01-18,F,2018,Alexandra Sell,1968,0,F,DE,"['SPO', 'COA', 'DRA']",https://www.youtube.com/watch?v=Oy4nFNTXDfs&ab_channel=KinoCheck,https://www.imdb.com/title/tt6032566/mediaviewer/rm3968882944/?ref_=tt_ov_i,"Als Kind träumte die 58-jährige Annebärbel Buschhaus (Ulrike Krumbiegel) davon, Eiskunstläuferin zu werden. Doch sie schlug einen anderen Weg ein, wurde erfolgreiche Ärztin. Wirklich glücklich ist Annebärbel damit jedoch nicht: Ihren Job erledigt sie routiniert und wenig einfühlsam, auch die Ehe mit ihrem Mann Rolf (Rainer Bock) ist lieblos. Das einzige, was in Annebärbels Leben wirklich zählt, ist die Meinung ihrer perfektionistischen Mutter und Vorgängerin in der Praxis Irene (Annekathrin Bürger) – wobei Annebärbel ihre alte Mama allerdings nie zufrieden stellen kann. Als sie schließlich von ihrem Mann verlassen wird, setzt sie zufällig wieder einen Fuß in die Welt des Eiskunstlaufens und beschließt kurzerhand, sich erneut die Schlittschuhe anzuschnallen. Sie ist glücklich, findet in der Berliner Jugendmeisterin Jolina (Maria Rogozina) eine Vertraute – trifft aber eines Tages auf die etwa gleichaltrige Eiskunstlauf-Weltmeisterin aus den Siebzigern, die von Annebärbels Mutter stets vergöttert wurde: Christine Stüber-Errath (als sie selbst). Alte Wunden reißen auf…","Annebärbel's life and feelings have become as frigid as a block of ice. At the age of 58, she stands as an unfriendly monument to former times. As a doctor, she shows little compassion, and as a wife, not much love. Only her domineering mother elicits human emotions from her. Negative ones at that. No matter what she does, it is never good enough for her mother. Even less so since her daughter took over her practice. But everything starts to change when Annebärbel's husband leaves her and she is forced to take stock of her life. In the process, she makes a journey deep into her past, and attempts to live her childhood dream, which she had to give up all these years ago due to her mother: figure skating. With wobbly, tentative legs, she steps into a world full of chilly magic: the skating rink. This is when she has to admit that people are part of the equation as well, and they haven't exactly been waiting for ""Dr Horrid"" to come stumbling in front of their blades. The misanthropic Annebärbel has to endure a wide array of interpersonal conflicts, before she finds, on the ice rink, the kind of warmth she didn't know she needed: she forms a warm friendship with a young woman who is a top athlete, a group of aged amateur skaters show her how to lust for life, and she meets the 1974 World Figure Skating Champion, Christine Stüber-Errath, from Berlin. And so it is the ice that makes Annebärbel open up, and begin to emancipate herself from her mother and her own icy ways.",DE,MAJ,"['rescue mission', 'search for meaning', 'intergenerational friendship', 'motherhood', 'urban', 'separation']",DE2018_005_01,Ulrike Krumbiegel,3,F,HE,WWE,MC,EM,AB,N,Ulrike Krumbiegel,1961,0,F,DE,
DE2018_006,Das Milan-Protokoll,The Milan Protocol,Peter Ott,THE,2018-01-18,F,2018,,0,0,,,"['THR', 'WAR', 'DRA']",https://www.youtube.com/watch?v=YIQqQfmTPT4&ab_channel=MitosfilmBerlin,https://www.imdb.com/title/tt5749698/mediaviewer/rm4251931904/?ref_=tt_ov_i,"Die deutsche Ärztin Martina (Catrin Striebeck) will den Menschen im Irak helfen und arbeitet deswegen in der kurdischen Region des Landes, im Grenzgebiet zu einem vom Islamischen Staat eroberten Teil von Syrien. Regelmäßig steht sie mit kurdischen Kämpfern in Syrien in Kontakt und reist über die Grenze, um verwundeten Soldaten und Soldatinnen zu helfen. Doch dann wird sie eines Tages bei einer Fahrt über die Grenze von einer sunnitischen Gruppe, die dem IS nahesteht, entführt. Allerdings verfolgen die sunnitischen Kämpfer, die in Martinas Fahrzeug eigentlich einen Waffentransport vermuteten, auch ihre eigenen ZIele und Interessen und so halten sie die wertvolle europäische Gefangene zunächst vor dem IS geheim. Als sich dann auch noch der BND einschaltet, wird die Situation für Martina immer komplizierter...","The German doctor Martina is kidnapped by a Sunnite group, back in Iraq. Her confinement becomes an ordeal of her cognitive ability and her loyalty. In the end the meaningfulness of her own existence is questioned.",DE,MAJ,war,,,,,,,,,,,,0,0,,,
DE2018_007,Garden of Stars,Garden of Stars,"Pasquale Plastino, Stephane Riethauser",THE,2018-01-18,D,2018,,0,0,,,DOB,https://www.youtube.com/watch?v=A4TXrt0m5tE&ab_channel=missingFILMsVerleih,https://www.imdb.com/title/tt5259988/mediaviewer/rm2755921152/?ref_=tt_ov_i,"Ichgola Androgyn heißt mit bürgerlichem Namen Bernd Boßmann und ist Kabarettist, Aktivist für Homosexuelle und HIV/AIDS-Kranke und arbeitet auf einem alten Berliner Friedhof, wo er ein Café betreibt und Bestattungen organisiert. Auf dem Friedhof haben nicht nur die Gebrüder Grimm ihre letzte Ruhestätte gefunden, es gibt dort für trauernde Eltern auch die Möglichkeit, im sogenannten „Garten der Sternenkinder“ ihre totgeborenen Kinder zu begraben. Doch auch andere Bestattungen ohne religiöses Zeremoniell bietet Ichgola an und so ruhen dort auch viele Männer, die an AIDS gestorben sind. In der Dokumentation von Pasquale Plastino und Stephane Riethauser sind Aktivisten und Künstler wie Michael Brynntrup, Rosa von Praunheim, Udo Kier und Ovo Maltine zu sehen, zudem verliest Zazie de Paris das Grimm-Märchen „Der Gevatter Tod“.","An enchanted cemetery in Berlin. Next to the Grimm Brothers' grave, stillborn babies and gay people rest in peace. This is the Garden of Stars.","['DE', 'CH']","['MAJ', 'MIN']","['lgbtqi', 'natural']",,,,,,,,,,,,0,0,,,
DE2018_008,Nur Gott kann mich richten,Only God Can Judge Me,Özgür Yildirim,THE,2018-01-25,F,2018,Özgür Yildirim,1979,0,M,DE,"['THR', 'CRI', 'DRA']",https://www.imdb.com/video/vi3918510873/?playlistId=tt6175764&ref_=tt_ov_pr_ov_vi,https://www.imdb.com/title/tt6175764/mediaviewer/rm2621067520/?ref_=tt_ov_i,"Ricky (Moritz Bleibtreu) hat vor Jahren nach einem misslungenen Überfall den Kopf hingehalten für seinen Bruder Rafael (Edin Hasanovic) und seinem guten Freund Latif (Kida Khodr Ramadan). Nachdem er endlich aus dem Knast entlassen wurde, soll Ricky für seine lange Leidenszeit hinter Gittern entschädigt werden: Latif bietet ihm einen letzten und vermeintlich todsicheren Coup an, der allen viel Geld einbringen könnte. Ricky zögert zunächst, willigt dann aber doch noch ein und holt sogar Rafael wieder mit ins Boot. Bei ihrer letzten Nummer scheint zunächst alles wie am Schnürchen zu laufen, doch dann taucht die Polizistin Diana (Birgit Minichmayr) auf und macht den Jungs einen Strich durch die Rechnung. Von nun an beginnt ein gefährliches Katz-und-Maus-Spiel, das alle in den Abgrund reißen könnte…","After a botched robbery attempt five years ago, Ricky went to jail for his brother Rafael and his buddy Latif. Now that he is back out of jail, Latif wants to show his gratitude: he says he has a surefire scheme to get rich quickly, and Ricky could use the money to set up his new life. Ricky hesitates at first but then agrees. Complications arise as soon as some preparations start. Things kept going out in awry, especially as a form of hardup policewoman Diana.",DE,MAJ,"['crime', 'urban']",,,,,,,,,,,,0,0,,,
DE2018_009,Anne Clark: I'll Walk out into Tomorrow,Anne Clark: I'll Walk out into Tomorrow,Claus Withopf,THE,2018-01-25,D,2018,Claus Withopf,1972,0,M,DE,DPA,https://www.youtube.com/watch?v=Qkk94oy3duY&ab_channel=KinoCheckIndie,https://www.imdb.com/title/tt5141862/mediaviewer/rm3465566464/?ref_=tt_ov_i,"Dokumentation über die britische Musikerin und Poetin Anne Clark, die mit ihrer avantgardistischen elektronischen Musik Berühmtheit erlangt hat. Clark singt ihre zumeist sehr poetischen, aber auch melancholischen und schwermütigen Texte nicht, sondern trägt diese rhythmisch gesprochen vor, weswegen ihr Werk auch oft dem Genre Spoken Word zugeordnet wird. In seiner Dokumentation „I'll Walk Out Into Tomorrow” zeichnet Filmemacher Claus Withopf ein Porträt von Clark und findet zugleich einen Weg, die Arbeit der Künstlerin zu visualisieren. Der Regisseur begleitete Clark beinahe zehn Jahre lang und zeigt die mehr als 30-jährige Karriere der Künstlerin. So geht er etwa auf die Konflikte mit ihrer einstigen Plattenfirma ein, die dazu führten, dass sich Clark aus dem Geschehen zurückzog und sich im musikalischen Exil in Norwegen neu erfand.","Anne Clark, an icon of music history and a terrific pioneer of spoken word art, has been on stage for more than 30 years. It transforms language into unique music. Since the early 1980s, New Wave classics such as OUR DARKNESS and SLEEPER IN METROPOLIS have provided a thrill of excitement that has inspired generations of musicians. Her analog synthesizer sounds made the gloomy poet a pioneer of techno. After drastic confrontations with her record company, she disappeared from the musical scene and re-invented herself in the quiet solitude of Norway. Director Claus Withopf accompanied Anne Clark for nearly a decade, portraying a socially critical as well as overwhelming exceptional artist - a musical rebel,",DE,MAJ,"['personal memory', 'artistic creation', 'search for meaning', 'cultural memory', 'new start']",,,,,,,,,,,,0,0,,,
DE2018_010,A Thought of Ecstasy,Ecstasy,Rolf Peter Kahl,THE,2018-01-25,F,2018,Rolf Peter Kahl,1970,0,M,DE,"['THR', 'ROM']",https://www.imdb.com/video/vi518504985/?playlistId=tt6098794&ref_=tt_ov_pr_ov_vi,https://www.imdb.com/title/tt6098794/mediaviewer/rm1588167937/?ref_=tt_ov_i,"Im Jahr 2019 liest Frank (Rolf Peter Kahl) ein neu erschienenes Buch, einen Tagebuchroman, der ihn an die 20 Jahre zurückliegende Beziehung mit seiner wahren Liebe Marie (Lena Morris) erinnert. Diese hat ihn damals verlassen, um nach Amerika auszuwandern. Kurzentschlossen lässt Frank nun sein altes Leben in Deutschland hinter sich und bricht ebenfalls in Richtung USA auf, um sich anhand der in dem Buch beschriebenen Orte auf die Suche nach ihr zu machen. Dabei reist er durch die Vereinigten Staaten, die unter einer erdrückenden Hitzewelle leiden und von Misstrauen und politischer Paranoia geprägt sind. Die Suche nach Marie führt ihn schließlich in das berühmte Death Valley und er trifft auf die ebenso mysteriöse wie faszinierende Nina (Ava Verne)…","A journey in a heated and paranoid America with a man in search of a lost love, a woman lost in desire for revenge and a twenty-year-old diary about the yearning to waste oneself in destruction.","['DE', 'CH', 'US']","['MAJ', 'MIN']",,,,,,,,,,,,,0,0,,,
