film_id,nat_title,eng_title,trailer_url,poster_url,nat_synopsis,eng_synopsis
ES2018_001,El mejor verano de mi vida,The Best Summer of My Life,https://www.youtube.com/watch?v=ouIQBGALgg4,https://www.imdb.com/title/tt7679126/mediaviewer/rm2441366784/?ref_=tt_ov_i,"Curro es un fantasioso vendedor de robots de cocina que sueña con un trabajo en el mundo financiero. En plena crisis de pareja, y con fuertes deudas, hace una promesa que no puede cumplir: si su hijo Nico, de 9 años, saca todo sobresalientes, le llevará a unas vacaciones de verano inolvidables. El niño lo consigue y padre e hijo emprenden un viaje que les llevará a conocer gente y vivir situaciones que jamás hubiesen imaginado.","An unlucky salesman tries to fulfill the promise given to his son of giving him an unforgettable summer holidays, despite he hasn't money."
ES2018_002,La tribu,The Tribe,https://www.youtube.com/watch?v=umEai78TAPI,https://www.imdb.com/title/tt6708044/mediaviewer/rm2355123456/?ref_=tt_ov_i,"Virginia (Carmen Machi), limpiadora de profesión y “streetdancer” vocacional, recupera al hijo que dio en adopción: Fidel (Paco León), un ejecutivo que lo ha perdido todo, incluida la memoria. Junto a “Las Mamis”, el extravagante grupo de baile que forman las compañeras de Virginia, madre e hijo descubrirán que a pesar de venir de mundos muy diferentes, ambos llevan el ritmo en la sangre.","A cleaner woman with vocational street dancer tries to recover her long-stranded son that she gave for adoption, a former CEO who lost everything, including his memories."
ES2018_003,Todos lo saben,Everybody Knows,https://www.youtube.com/watch?v=w7cvj9RabiA,https://www.imdb.com/title/tt4964788/mediaviewer/rm3064296960/?ref_=tt_ov_i,"Laura viaja con su familia desde Buenos Aires a su pueblo natal, en España, para asistir a la boda de su hermana. Lo que iba a ser una breve visita familiar se verá trastocada por unos acontecimientos imprevistos, que sacudirán las vidas de los implicados.","Laura, a Spanish woman living in Buenos Aires, returns to her hometown outside Madrid with her two children to attend her sister's wedding. However, the trip is upset by unexpected events that bring secrets into the open."
ES2018_004,Ola de crímenes,Wave of Crimes,https://www.youtube.com/watch?v=rX9Vm5KfK5w,https://www.imdb.com/title/tt7459182/mediaviewer/rm495862784/?ref_=tt_ov_i,"El hijo adolescente de Leyre (Maribel Verdú), un ama de casa acomodadamente divorciada, mata a su padre en un arrebato. Ella decide hacer lo imposible por ocultarlo, desatando a su pesar una caótica ola de crímenes en la ciudad de Bilbao. Mientras, la nueva esposa del difunto (Paula Echevarría) y su implacable abogada (Juana Acosta) tratan de ocultar la jugosa trama de corrupción en la que se movían. Pero no habían contado con la perseverancia de la pareja de inspectores de la Ertzaintza (Antonio Resines y Raúl Peña) encargados del caso…",A desperate housewife tries to cover up her son after he kills his father.
ES2018_005,El reino,The Candidate,https://www.youtube.com/watch?v=XXqHt-WiAVI,https://www.imdb.com/title/tt7095482/mediaviewer/rm426198272/?ref_=tt_ov_i,"Manuel (Antonio de la Torre), un influyente vicesecretario autonómico que lo tiene todo a favor para dar el salto a la política nacional, observa cómo su perfecta vida se desmorona a partir de unas filtraciones que le implican en una trama de corrupción junto a Paco, uno de sus mejores amigos. Mientras los medios de comunicación empiezan a hacerse eco de las dimensiones del escándalo, el partido cierra filas y únicamente Paco sale indemne. Manuel es expulsado, señalado por la opinión pública y traicionado por los que hasta hace unas horas eran sus amigos. Aunque el partido pretende que cargue con toda la responsabilidad, Manuel no se resigna a caer solo. Con el único apoyo de su mujer y de su hija, y atrapado en una espiral de supervivencia, Manuel se verá obligado a luchar contra una maquinaria de corrupción que lleva años engrasada, y contra un sistema de partidos en el que los reyes caen, pero los reinos continúan.",A Spanish politician whose high-class lifestyle is based on nefarious and illegal business threatens to break his entire party after a newspaper expose him to the public eye.
ES2018_006,Miamor perdido,Mylove Lost,https://www.youtube.com/watch?v=gokpndth4Jk,https://www.imdb.com/title/tt7575440/mediaviewer/rm3552526336/?ref_=tt_ov_i,"Mario y Olivia se enamoran locamente. Una tarde, planteándose que toda relación se acaba, terminan rompiendo. Durante la bronca, Miamor, el gato callejero adoptado por ambos y que sólo atiende si le hablan en valenciano, se escapa y desaparece, como el amor que les unía. Durante un tiempo, Olivia dará por muerto al amor y al minino, mientras Mario lo mantiene con vida a escondidas. Como el gato de Schrödinger, el amor entre los dos permanece vivo y muerto al mismo tiempo, hasta que un buen día, en el que parece haber resucitado definitivamente, Olivia se siente víctima de un engaño y decide declararle a Mario la guerra, una en la que, como en el amor que aún respira, todo puede valer.","Mario and Olivia fall madly in love. One afternoon, considering that every relationship ends, they end up breaking up. During the big fight, Miamor, the street cat adopted by both, escapes and disappears, like the love that united them."
ES2018_007,Tu hijo,Your Son,https://www.youtube.com/watch?v=j6GqxzRwOE0,https://www.imdb.com/title/tt7807026/mediaviewer/rm4158225664/?ref_=tt_ov_i,"La vida del doctor Jaime Jiménez se viene abajo cuando su hijo de 17 años queda en estado vegetativo debido a una brutal paliza que recibe a la salida de una discoteca. Tras ver que la justicia no hace nada por detener a los culpables, él mismo emprenderá un viaje a los infiernos en busca de venganza","When his son is sent to the hospital after being hit by strangers, a father tries to find them regardless of the consequences."
ES2018_008,Petra,,https://www.youtube.com/watch?v=o9pq83Q6jjU,https://www.imdb.com/title/tt6040806/mediaviewer/rm1024412928/?ref_=tt_ov_i,"Petra no sabe quién es su padre, se lo han ocultado a lo largo de su vida. Tras la muerte de su madre inicia una búsqueda que le conduce a Jaume, un célebre artista plástico poderoso y despiadado. En su camino por conocer la verdad, Petra también entra en contacto con Lucas, hijo de Jaume, y Marisa, esposa de Jaume y madre de Lucas. A partir de ese momento, la historia de estos personajes se va entretejiendo en una espiral de maldad, secretos familiares y violencia que los lleva a todos al límite. El destino dará un giro a su lógica cruel abriendo un camino para la esperanza y la redención.","The identity of Petra's father has been hidden from her all her life. When her mother dies, Petra embarks on a quest which leads to Jaume, a celebrated artist and a powerful, ruthless man."
ES2018_009,Quién te cantará,Who Will Sing To You?,https://www.youtube.com/watch?v=SpOjXpfxIFQ,https://www.imdb.com/title/tt6485304/mediaviewer/rm1483700480/?ref_=tt_ov_i,"Lila Cassen (Najwa Nimri) era la cantante española con más éxito de los noventa hasta que desapareció misteriosamente de un día para otro. Diez años después, Lila prepara su triunfal vuelta a los escenarios pero, poco antes de la esperada fecha, pierde la memoria al sufrir un accidente. Violeta (Eva Llorach) vive dominada por su conflictiva hija Marta (Natalia de Molina). Cada noche escapa de su realidad haciendo lo único que la hace feliz: imitar a Lila Cassen en el karaoke donde trabaja. Un día Violeta recibe una fascinante propuesta: enseñar a Lila Cassen a volver a ser Lila Cassen.","When Lila, a celebrated but fame-weary and amnesiac singer forgets how to perform, super-fan Violeta steps in to teach Lila how to be Lila once again."
ES2018_010,La enfermedad del domingo,Sunday's Illness,https://www.youtube.com/watch?v=DFhK6kUD04c,https://www.imdb.com/title/tt6053948/mediaviewer/rm2369542656/?ref_=tt_ov_i,"Anabel (Susi Sánchez) abandonó a su hija Chiara (Bárbara Lennie) cuando esta apenas tenía ocho años. Treinta y cinco años después, Chiara regresa con una extraña petición para su madre: que pasen diez días juntas. Anabel ve en ese viaje la oportunidad de recuperar a su hija, pero no sabe qué intenciones tiene Chiara.","Wealthy Anabel, 65, receives an unexpected visit from Chiara, the daughter she abandoned 30 years ago. Chiara has a request: that they spend 10 days together. Anabel goes out of guilt, but there are conditions of which she is unaware."
