film_id,nat_title,film_country,prod_share,,,,,,,,,,,,,,,,,,,,,,
FR2021_001,Envole-moi,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_001,Envole-moi,IT,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_002,L'Étreinte,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_003,Le Dernier Voyage,FR,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_004,Mandibules,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_005,Le Grand Secret du lien,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_006,Si le vent tombe,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_006,Si le vent tombe,AM,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_006,Si le vent tombe,BE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_007,Vers la bataille,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_007,Vers la bataille,CO,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_008,Chacun chez soi,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_009,Des hommes,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_009,Des hommes,BE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_010,Playlist,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_011,Villa Caprice,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_011,Villa Caprice,BE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_012,'May B',FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_013,L'Instant présent,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_014,Le Discours,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_014,Le Discours,BE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_015,Vaurien,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_016,5ème Set,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_017,La Nuée,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_018,Les 2 Alfred,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_019,Seize Printemps,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_020,Un tour chez ma fille,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_021,Gagarine,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_022,Ibrahim,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_023,Opération Portugal,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_024,Tokyo Shaking,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_024,Tokyo Shaking,BE,MIN,,,,,,,,,,,,,,,,,,,,,,
FR2021_025,La Fine Fleur,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_026,Le Sens de la famille,FR,MAJ,,,,,,,,,,,,,,,,,,,,,,
FR2021_026,Le Sens de la famille,BE,MIN,,,,,,,,,,,,,,,,,,,,,,
