person_id,person_name,birth_year,death_year,gender,,,,,,,,,,,,,,,,,,,,,
TBD,Abbes Zahmani,1961,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Abel Jafri,1965,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Adriana Asti,1931,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Adrien Soland,?,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Agnès Jaoui,1964,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Ahmed Hamidi,?,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Alain Cavalier,1931,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Alain Chabat,1958,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Alain Delon,1935,2024,M,,,,,,,,,,,,,,,,,,,,,
TBD,Alain Doutey,1944,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Alain Guiraudie,1964,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Alain Libolt,1943,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Alan Rickman,1946,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Albert Delpy,1940,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Albert Dray,1946,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Albert Dupontel,1964,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Aldo Maccione,1935,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Alejandro Jodorowsky,1929,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Alex Descas,1958,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Alexandra Leclère,?,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Alexandra Pianelli,?,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Alexandra Stewart,1939,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Alexandre Astier,1974,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Alexandre Bustillo,1975,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Alexandre Castagnetti,1975,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Alexandre Jollien,1975,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Alexandre von Sivers,1943,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Alexis Langlois,?,,M,,,,,,,,,,,,,,,,,,,,,
TBD,Alice Diop,1979,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Alida Valli,1921,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Amanda Lear,1939,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Amandine Fredon,?,,F,,,,,,,,,,,,,,,,,,,,,
TBD,Amidou (Hamidou Benmessaoud),1935,,M,,,,,,,,,,,,,,,,,,,,,
