person_id,person_name,person_nat,,,,,,,,,,,,,,,,,,,,,,,
TBD,Abbes Zahmani,DZ,,,,,,,,,,,,,,,,,,,,,,,
TBD,Abbes Zahmani,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Abel Jafri,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Adriana Asti,IT,,,,,,,,,,,,,,,,,,,,,,,
TBD,Adrien Soland,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Agnès Jaoui,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Ahmed Hamidi,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Alain Cavalier,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Alain Chabat,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Alain Delon,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Alain Doutey,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Alain Guiraudie,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Alain Libolt,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Alan Rickman,UK,,,,,,,,,,,,,,,,,,,,,,,
TBD,Albert Delpy,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Albert Dray,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Albert Dupontel,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Aldo Maccione,IT,,,,,,,,,,,,,,,,,,,,,,,
TBD,Alejandro Jodorowsky,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Alejandro Jodorowsky,CL,,,,,,,,,,,,,,,,,,,,,,,
TBD,Alex Descas,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Alexandra Leclère,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Alexandra Pianelli,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Alexandra Stewart,CA,,,,,,,,,,,,,,,,,,,,,,,
TBD,Alexandre Astier,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Alexandre Bustillo,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Alexandre Castagnetti,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Alexandre Jollien,CH,,,,,,,,,,,,,,,,,,,,,,,
TBD,Alexandre von Sivers,BE,,,,,,,,,,,,,,,,,,,,,,,
TBD,Alexis Langlois,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Alice Diop,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Alida Valli,IT,,,,,,,,,,,,,,,,,,,,,,,
TBD,Amanda Lear,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Amandine Fredon,,,,,,,,,,,,,,,,,,,,,,,,
TBD,Amidou (Hamidou Benmessaoud),FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Amidou (Hamidou Benmessaoud),MA,,,,,,,,,,,,,,,,,,,,,,,
TBD,Amos Gitai,,,,,,,,,,,,,,,,,,,,,,,,
TBD,Amparo Soler Leal,ES,,,,,,,,,,,,,,,,,,,,,,,
TBD,Anais Straumann-Lévy,,,,,,,,,,,,,,,,,,,,,,,,
TBD,Anas Khalaf,,,,,,,,,,,,,,,,,,,,,,,,
TBD,Anaïs Volpé,,,,,,,,,,,,,,,,,,,,,,,,
TBD,Andrea Barone,,,,,,,,,,,,,,,,,,,,,,,,
TBD,Andrzej Chyra,PL,,,,,,,,,,,,,,,,,,,,,,,
TBD,Andrzej Seweryn,DE,,,,,,,,,,,,,,,,,,,,,,,
TBD,André Bonzel,,,,,,,,,,,,,,,,,,,,,,,,
TBD,André Chazel,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,André Dussollier,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,André Marcon,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,André Oumansky,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,André Wilms,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Andréa Ferréol,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Andrée Damant,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Andrée Tainsy,BE,,,,,,,,,,,,,,,,,,,,,,,
TBD,Anissa Bonnefont,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Anna Gaylor,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Anna Karina,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Anna Karina,DK,,,,,,,,,,,,,,,,,,,,,,,
TBD,Anne Alvaro,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Anne Benoît,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Anne Canovas,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Anne Consigny,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Anne Dorval,CA,,,,,,,,,,,,,,,,,,,,,,,
TBD,Anne Fontaine,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Anne Fontaine,LU,,,,,,,,,,,,,,,,,,,,,,,
TBD,Anne Le Ny,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Anne Marev,BE,,,,,,,,,,,,,,,,,,,,,,,
TBD,Anne Parillaud,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Anne-Laure Daffis,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Anne-Marie Philipe,FR,,,,,,,,,,,,,,,,,,,,,,,
TBD,Annette Bening,US,,,,,,,,,,,,,,,,,,,,,,,
