film_id,nat_title,film_genre,,,,,,,,,,,,,,,,,,,,,,,
FR2021_001,Envole-moi,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_001,Envole-moi,COM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_002,L'Étreinte,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_002,L'Étreinte,ROM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_003,Le Dernier Voyage,SCI,,,,,,,,,,,,,,,,,,,,,,,
FR2021_003,Le Dernier Voyage,ADV,,,,,,,,,,,,,,,,,,,,,,,
FR2021_004,Mandibules,COM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_004,Mandibules,FAN,,,,,,,,,,,,,,,,,,,,,,,
FR2021_005,Le Grand Secret du lien,DPA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_005,Le Grand Secret du lien,DOB,,,,,,,,,,,,,,,,,,,,,,,
FR2021_006,Si le vent tombe,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_006,Si le vent tombe,ROA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_007,Vers la bataille,WES,,,,,,,,,,,,,,,,,,,,,,,
FR2021_007,Vers la bataille,WAR,,,,,,,,,,,,,,,,,,,,,,,
FR2021_007,Vers la bataille,HIS,,,,,,,,,,,,,,,,,,,,,,,
FR2021_008,Chacun chez soi,COM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_009,Des hommes,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_009,Des hommes,HIS,,,,,,,,,,,,,,,,,,,,,,,
FR2021_010,Playlist,COM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_011,Villa Caprice,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_011,Villa Caprice,COU,,,,,,,,,,,,,,,,,,,,,,,
FR2021_012,'May B',DOB,,,,,,,,,,,,,,,,,,,,,,,
FR2021_012,'May B',DPO,,,,,,,,,,,,,,,,,,,,,,,
FR2021_013,L'Instant présent,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_014,Le Discours,COM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_015,Vaurien,CRI,,,,,,,,,,,,,,,,,,,,,,,
FR2021_015,Vaurien,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_016,5ème Set,SPO,,,,,,,,,,,,,,,,,,,,,,,
FR2021_016,5ème Set,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_017,La Nuée,HOR,,,,,,,,,,,,,,,,,,,,,,,
FR2021_017,La Nuée,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_018,Les 2 Alfred,COM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_019,Seize Printemps,ROM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_019,Seize Printemps,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_019,Seize Printemps,MUS,,,,,,,,,,,,,,,,,,,,,,,
FR2021_020,Un tour chez ma fille,COM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_021,Gagarine,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_022,Ibrahim,COA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_022,Ibrahim,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_023,Opération Portugal,COM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_024,Tokyo Shaking,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_024,Tokyo Shaking,DIS,,,,,,,,,,,,,,,,,,,,,,,
FR2021_025,La Fine Fleur,COM,,,,,,,,,,,,,,,,,,,,,,,
FR2021_025,La Fine Fleur,DRA,,,,,,,,,,,,,,,,,,,,,,,
FR2021_026,Le Sens de la famille,COM,,,,,,,,,,,,,,,,,,,,,,,
