film_id,nat_title,eng_title,director,release_type,release_date,film_type,Close viewing?,,,,,,,,,,,,,,,,,,
FR2021_001,Envole-moi,Fly Me Away,Christophe Barratier,THE,19/05/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_002,L'Étreinte,Margaux Hartmann,Ludovic Bergery,THE,19/05/2021,F,MAYBE,,,,,,,,,,,,,,,,,,
FR2021_003,Le Dernier Voyage,Last Journey of Paul W.R.,Romain Quirot,THE,19/05/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_004,Mandibules,Mandibles,Quentin Dupieux,THE,19/05/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_005,Le Grand Secret du lien,,Frédéric Plénard,THE,26/05/2021,D,MAYBE,,,,,,,,,,,,,,,,,,
FR2021_006,Si le vent tombe,Should the Wind Drop,Nora Martirosyan,THE,26/05/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_007,Vers la bataille,Towards the Battle,Aurélien Vernhes-Lermusiaux,THE,26/05/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_008,Chacun chez soi,The Kids Are Back,Michèle Laroque,THE,02/06/2021,F,MAYBE,,,,,,,,,,,,,,,,,,
FR2021_009,Des hommes,Home Front,Lucas Belvaux,THE,02/06/2021,F,YES,,,,,,,,,,,,,,,,,,
FR2021_010,Playlist,Playlist,Nine Antico,THE,02/06/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_011,Villa Caprice,The Case,Bernard Stora,THE,02/06/2021,F,YES,,,,,,,,,,,,,,,,,,
FR2021_012,'May B','May B',David Mambouch,THE,09/06/2021,D,MAYBE,,,,,,,,,,,,,,,,,,
FR2021_013,L'Instant présent,,Florian Hessique,THE,09/06/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_014,Le Discours,The Speech,Laurent Tirard,THE,09/06/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_015,Vaurien,Rascal,Peter Dourountzis,THE,09/06/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_016,5ème Set,Final Set,Quentin Reynaud,THE,16/06/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_017,La Nuée,The Swarm,Just Philippot,THE,16/06/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_018,Les 2 Alfred,French Tech,Bruno Podalydès,THE,16/06/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_019,Seize Printemps,Spring Blossom,Suzanne Lindon,THE,16/06/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_020,Un tour chez ma fille,"Knock, Knock, It’s Mom !",Eric Lavaine,THE,16/06/2021,F,YES,,,,,,,,,,,,,,,,,,
FR2021_021,Gagarine,Gagarine,"Fanny Liatard, Jérémy Trouilh",THE,23/06/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_022,Ibrahim,Ibrahim,Samir Guesmi,THE,23/06/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_023,Opération Portugal,Operation Portugal,Frank Cimière,THE,23/06/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_024,Tokyo Shaking,Tokyo Shaking,Olivier Peyon,THE,23/06/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_025,La Fine Fleur,The Rose Maker,Pierre Pinaud,THE,30/06/2021,F,MAYBE,,,,,,,,,,,,,,,,,,
FR2021_026,Le Sens de la famille,Family Swap,Jean-Patrick Benes,THE,30/06/2021,F,MAYBE,,,,,,,,,,,,,,,,,,
FR2021_027,Présidents,Presidents,Anne Fontaine,THE,30/06/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_028,Soeurs,Sisters,Yamina Benguigui,THE,30/06/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_029,Sous le ciel d'Alice,Skies of Lebanon,Chloé Mazlo,THE,30/06/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_030,Teddy,Teddy,"Zoran Boukherma, Ludovic Boukherma",THE,30/06/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_031,The Deep House,The Deep House,"Alexandre Bustillo, Julien Maury",THE,30/06/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_032,Benedetta,Benedetta,Paul Verhoeven,THE,09/07/2021,F,MAYBE,,,,,,,,,,,,,,,,,,
FR2021_033,Bergman Island,Bergman Island,Mia Hansen-Løve,THE,14/07/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_034,Frères d'arme,,Sylvain Labrosse,THE,14/07/2021,F,NO,,,,,,,,,,,,,,,,,,
FR2021_035,Mystère à Saint-Tropez,Mystery in Saint-Tropez,Nicolas Benamou,THE,14/07/2021,F,MAYBE,,,,,,,,,,,,,,,,,,
