film_id,nat_title,eng_title,trailer_url,poster_url,nat_synopsis,eng_synopsis,,,,,,,,,,,,,,,,,,,
FR2021_001,Envole-moi,Fly Me Away,https://www.youtube.com/watch?v=bfXW7b-igtw,https://medias.unifrance.org/medias/179/145/233907/format_page/fly-me-away.jpg,"Thomas passe ses nuits en boites et ses journées au lit, jusqu’au jour où son père, le docteur Reinhard, lassé de ses frasques, décide de lui couper les vivres et lui impose de s’occuper d’un de ses jeunes patients. Marcus a douze ans et vit seul avec sa maman. Il souffre depuis sa naissance d’une maladie grave qui rythme ses journées, entre le centre d’accueil médicalisé où il est scolarisé et des séjours répétés à l’hôpital. Cette rencontre va bouleverser le quotidien de l’un et de l’autre, et tout simplement changer leur vie.","Thomas, a blasé young man, spends his nights in clubs and his days in bed. Until his father, Dr. Reinhard, fed up with his son’s escapades, cuts him off completely and forces him to take care of one of his young patients. Marcus, 12, was born with a serious congenital disorder. He lives with his mother in the poor suburbs of Paris and spends his days either at the hospital or in a center for sick children. This encounter will disrupt their lives and change them both, profoundly and forever.",,,,,,,,,,,,,,,,,,,
FR2021_002,L'Étreinte,Margaux Hartmann,https://www.youtube.com/watch?v=btVeltv35AI,https://medias.unifrance.org/medias/100/146/234084/format_page/margaux-hartmann.jpg,"Margaux a perdu son mari et commence une nouvelle vie. Elle s’installe chez sa sœur et s’inscrit à l’université pour reprendre des études de littérature. Mais rapidement, elle ressent le besoin d’autres émotions. Elle part en quête d’amour, au risque de s’y perdre...","Margaux just lost her older husband and starts a new life. Enrolling again at university, she still feels empty. She decides to look for love again, even if it means walking on the edge.",,,,,,,,,,,,,,,,,,,
FR2021_003,Le Dernier Voyage,Last Journey of Paul W.R.,https://www.youtube.com/watch?v=ciNSJfvp3QU,https://medias.unifrance.org/medias/251/146/234235/format_page/paul-w-r-s-last-journey.jpg,"Dans un futur proche, une mystérieuse lune rouge est exploitée à outrance pour son énergie. Alors qu’elle change brusquement de trajectoire et fonce droit sur la Terre, Paul W.R, le seul astronaute capable de la détruire, refuse d’accomplir cette mission et disparaît. Traqué sans relâche, Paul croise la route d’Elma, une adolescente au tempérament explosif qui va l'accompagner dans sa fuite.","In the post-apocalyptic wasteland, a red moon has appeared in the sky and is excessively exploited for its energy resources. Suddenly the red moon changes its course and threatens existence on earth. The only hope of saving earth and humanity is the enigmatic Paul W.R., the most talented astronaut of his generation. But a few hours before the start of the Great Mission, Paul disappears. Paul has discovered the secret of the red moon and the reason why it must not be destroyed.",,,,,,,,,,,,,,,,,,,
FR2021_004,Mandibules,Mandibles,https://www.youtube.com/watch?v=LSSbB5eUKnY,https://medias.unifrance.org/medias/117/112/225397/format_page/mandibles.jpg,"Jean-Gab et Manu, deux amis simples d’esprit, trouvent une mouche géante coincée dans le coffre d’une voiture et se mettent en tête de la dresser pour gagner de l’argent avec.","When simple-minded friends Jean-Gab and Manu ﬁnd a giant ﬂy trapped in the boot of a car, they decide to train it in the hope of making a ton of cash.",,,,,,,,,,,,,,,,,,,
FR2021_005,Le Grand Secret du lien,,https://www.youtube.com/watch?v=VhSqaSHT5f8,https://medias.unifrance.org/medias/187/150/235195/format_page/le-grand-secret-du-lien.jpg,"Pierre Rabhi, paysan philosophe, Danis Bois, professeur agrégé, docteur en sciences de l’éducation et fondateur du CERAP, Philippe Meirieu, professeur des universités émérite en sciences de l’éducation et d’autres « sages » accueillent 50 enfants, adolescents et jeunes adultes venus de 5 régions de France à l’Eco-hameau du Viel Audon au coeur de l’Ardèche. Ces jeunes vont recevoir une mission : retrouver le Grand Secret du Lien, perdu depuis que les êtres humains se sont détachés de la nature. Ils auront un an pour le trouver. Pour les aider, des pédagogues de la perception et des éducateurs vont les accompagner faire un voyage de 25 jours dans l’espace… naturel.",,,,,,,,,,,,,,,,,,,,
FR2021_006,Si le vent tombe,Should the Wind Drop,https://www.youtube.com/watch?v=LF2zEcIQsZE,https://medias.unifrance.org/medias/232/122/228072/format_page/should-the-wind-drop.jpg,"Auditeur international, Alain débarque dans une petite république auto-proclamée du Caucase afin d’expertiser la possibilité d’ouverture de son aéroport. Au contact des habitants du Haut-Karabagh et d’un mystérieux enfant, Alain s’ouvre à un monde nouveau et risque le tout pour le tout.","International auditor Alain has arrived to appraise the airport of a small self-proclaimed republic in the Caucasus to green light its eventual reopening. Through Edgar, a local boy running a make-shift business in the airport, Alain will risk all to help this isolated territory to open up.",,,,,,,,,,,,,,,,,,,
FR2021_007,Vers la bataille,Towards the Battle,https://www.youtube.com/watch?v=qB1T03lbbYI,https://medias.unifrance.org/medias/139/122/227979/format_page/towards-the-battle.jpg,"Vers 1860, Louis, un photographe, réussit à convaincre un général de l’armée française de l’envoyer au Mexique pour prendre des clichés de la guerre coloniale qui y fait rage. Sur place, perdu entre les lignes, toujours à contretemps, Louis est incapable de trouver les combats et de prendre le moindre cliché. Sa rencontre avec Pinto un paysan mexicain auquel il va lier son destin, va le conduire à découvrir, non la gloire et l’argent, mais un moyen d’affronter les fantômes de son passé.","Around 1860, Louis, a photographer, convinces a general of the French army to send him to Mexico to photograph the colonial war which is ravaging the country. Once he is there, nothing goes as planned. Never at the right place at the right time to see the battles, Louis can't get a single picture of the war. But his encounter with Pinto, a Mexican peasant, changes his destiny. It leads him to discover neither glory nor wealth, but a way to confront the ghosts of his past.",,,,,,,,,,,,,,,,,,,
FR2021_008,Chacun chez soi,The Kids Are Back,https://www.youtube.com/watch?v=cKLs0T-AdcQ,https://medias.unifrance.org/medias/31/130/229919/format_page/the-kids-are-back.jpg,"Catherine et Yann sont en couple et amoureux depuis de nombreuses années. Mais depuis que Yann a quitté son boulot, il s'est pris de passion pour les bonsaïs. Une passion dévorante qui prend beaucoup de place aux yeux de Catherine, qui se sent quelque peu délaissée. La situation ne va pas s'arranger lorsque leur fille Anna, et son copain Thomas, viennent s'installer chez eux suite à une galère d'appartement. La cohabitation s'avère plus que difficile pour les deux couples que tout oppose...","Catherine and Yann, happily married for many years, should have spent the year travelling abroad. But since he sold his business, Yann has been too busy with his bonsai trees and keeps postponing the big trip. Things go from bad to worse when their 27-year-old broke daughter and her boyfriend lose their apartment and come knocking on the door to stay. With Yann’s mid-life crisis spinning out of control, their couch surfing daughter and partner getting increasingly invasive and their stay becoming indefinite, Catherine will try everything to kick them out of the parental home and get her life back on track!",,,,,,,,,,,,,,,,,,,
FR2021_009,Des hommes,Home Front,https://www.youtube.com/watch?v=B5RaohQNeIw,https://medias.unifrance.org/medias/45/107/224045/format_page/home-front.jpg,"Ils ont été appelés en Algérie au moment des ""événements"" en 1960. Deux ans plus tard, Bernard, Rabut, Février et d'autres sont rentrés en France. Ils se sont tus, ils ont vécu leurs vies. Mais parfois il suffit de presque rien, d'une journée d'anniversaire, d'un cadeau qui tient dans la poche, pour que quarante ans après, le passé fasse irruption dans la vie de ceux qui ont cru pouvoir le nier.","Burgundy, France. Solange's 60th birthday celebrations are violently interrupted by her estranged brother, Bernard. His outburst will reawaken painful memories and reveal untold stories of the Algerian War.",,,,,,,,,,,,,,,,,,,
FR2021_010,Playlist,Playlist,https://www.youtube.com/watch?v=JxNvHM8mVHg,https://medias.unifrance.org/medias/134/148/234630/format_page/playlist.jpg,"Sophie a 28 ans. Elle aimerait être dessinatrice, mais ce serait tellement plus facile si elle avait fait une école d’art. Elle aimerait aussi trouver l'amour, mais ce serait tellement plus facile s'il vous sautait aux yeux. Elle multiplie les expériences amoureuses et professionnelles. Prendre des coups, beaucoup, en donner, un peu : c’est ça, l’apprentissage. Dans sa tête tourne en boucle Daniel Johnston, qui chante que « l'amour véritable finit bien par vous tomber dessus » ; mais Sophie se demande s'il dit vrai.","Sophie is 28 years old. She would like to be a designer, but it would be so much easier if she had gone to art school. She would also like to find love, but it would be so much easier if it jumped out at you. She dabbles, a lot, in love and work. Absorbing a ton of blows, landing a few: that's what learning is all about. In her head, Daniel Johnston is playing over and over again, singing that true love will eventually fall into your lap.",,,,,,,,,,,,,,,,,,,
