film_id,nat_title,person_id,person_name,role_class,,,,,,,,,,,,,,,,,,,,,
FR2021_001,Envole-moi,TBD,Christophe Barratier,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_001,Envole-moi,TBD,Gérard Lanvin,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_002,L&apos;Étreinte,TBD,Ludovic Bergery,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_002,L&apos;Étreinte,TBD,Emmanuelle Béart,LEA,,,,,,,,,,,,,,,,,,,,,
FR2021_002,L&apos;Étreinte,TBD,Eva Ionesco,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_003,Le Dernier Voyage,TBD,Romain Quirot,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_003,Le Dernier Voyage,TBD,Jean Reno,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_003,Le Dernier Voyage,TBD,Bruno Lochet,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_004,Mandibules,TBD,Quentin Dupieux,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_004,Mandibules,TBD,Bruno Lochet,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_005,Le Grand Secret du lien,TBD,Frédéric Plénard,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_006,Si le vent tombe,TBD,Nora Martirosyan,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_006,Si le vent tombe,TBD,Vardan Petrosyan,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_007,Vers la bataille,TBD,Aurélien Vernhes-Lermusiaux,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_007,Vers la bataille,TBD,Thomas Chabrol,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_008,Chacun chez soi,TBD,Michèle Laroque,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_008,Chacun chez soi,TBD,Michèle Laroque,LEA,,,,,,,,,,,,,,,,,,,,,
FR2021_008,Chacun chez soi,TBD,Lionel Abelanski,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_008,Chacun chez soi,TBD,François Berléand,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_008,Chacun chez soi,TBD,Hichem Yacoubi,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_009,Des hommes,TBD,Lucas Belvaux,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_009,Des hommes,TBD,Gérard Depardieu,LEA,,,,,,,,,,,,,,,,,,,,,
FR2021_009,Des hommes,TBD,Catherine Frot,LEA,,,,,,,,,,,,,,,,,,,,,
FR2021_009,Des hommes,TBD,Jean-Pierre Darroussin,LEA,,,,,,,,,,,,,,,,,,,,,
FR2021_009,Des hommes,TBD,Clotilde Mollet,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_010,Playlist,TBD,Nine Antico,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_010,Playlist,TBD,Jackie Berroyer,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_011,Villa Caprice,TBD,Bernard Stora,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_011,Villa Caprice,TBD,Niels Arestrup,LEA,,,,,,,,,,,,,,,,,,,,,
FR2021_011,Villa Caprice,TBD,Patrick Bruel,LEA,,,,,,,,,,,,,,,,,,,,,
FR2021_011,Villa Caprice,TBD,Michel Bouquet,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_011,Villa Caprice,TBD,Yves Jacques,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_011,Villa Caprice,TBD,Eva Darlan,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_011,Villa Caprice,TBD,Marie-Christine Orry,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_012,&apos;May B&apos;,TBD,David Mambouch,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_013,L&apos;Instant présent,TBD,Martin Lamotte,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_013,L&apos;Instant présent,TBD,Florian Hessique,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_014,Le Discours,TBD,Laurent Tirard,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_014,Le Discours,TBD,François Morel,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_014,Le Discours,TBD,Guilaine Londez,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_015,Vaurien,TBD,Peter Dourountzis,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_015,Vaurien,TBD,Samuel Churin,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_016,5ème Set,TBD,Quentin Reynaud,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_016,5ème Set,TBD,Kristin Scott Thomas,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_016,5ème Set,TBD,Hervé Pauchon,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_017,La Nuée,TBD,Just Philippot,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_017,La Nuée,TBD,Christian Bouillette,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_018,Les 2 Alfred,TBD,Bruno Podalydès,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_018,Les 2 Alfred,TBD,Bruno Podalydès,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_018,Les 2 Alfred,TBD,Denis Podalydès,LEA,,,,,,,,,,,,,,,,,,,,,
FR2021_018,Les 2 Alfred,TBD,Michel Vuillermoz,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_018,Les 2 Alfred,TBD,Jean-Noël Brouté,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_018,Les 2 Alfred,TBD,Isabelle Candelier,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_018,Les 2 Alfred,TBD,Philippe Uchan,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_018,Les 2 Alfred,TBD,Patrick Ligardes,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_019,Seize Printemps,TBD,Suzanne Lindon,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_019,Seize Printemps,TBD,Frédéric Pierrot,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_019,Seize Printemps,TBD,Dominique Besnehard,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_019,Seize Printemps,TBD,Philippe Uchan,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_020,Un tour chez ma fille,TBD,Eric Lavaine,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_020,Un tour chez ma fille,TBD,Josiane Balasko,LEA,,,,,,,,,,,,,,,,,,,,,
FR2021_020,Un tour chez ma fille,TBD,Didier Flamand,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_020,Un tour chez ma fille,TBD,Line Renaud,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_021,Gagarine,TBD,Fanny Liatard,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_021,Gagarine,TBD,Jérémy Trouilh,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_021,Gagarine,TBD,Farida Rahouadj,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_021,Gagarine,TBD,Denis Lavant,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_022,Ibrahim,TBD,Samir Guesmi,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_022,Ibrahim,TBD,Philippe Rebbot,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_022,Ibrahim,TBD,Maryline Canto,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_022,Ibrahim,TBD,Rufus,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_023,Opération Portugal,TBD,Frank Cimière,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_023,Opération Portugal,TBD,José Da Silva,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_023,Opération Portugal,TBD,Vincent Moscato,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_024,Tokyo Shaking,TBD,Karin Viard,LEA,,,,,,,,,,,,,,,,,,,,,
FR2021_024,Tokyo Shaking,TBD,Philippe Uchan,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_024,Tokyo Shaking,TBD,Olivier Peyon,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_025,La Fine Fleur,TBD,Pierre Pinaud,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_025,La Fine Fleur,TBD,Catherine Frot,LEA,,,,,,,,,,,,,,,,,,,,,
FR2021_026,Le Sens de la famille,TBD,Jean-Patrick Benes,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_026,Le Sens de la famille,TBD,Franck Dubosc,LEA,,,,,,,,,,,,,,,,,,,,,
FR2021_026,Le Sens de la famille,TBD,Christiane Millet,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_026,Le Sens de la famille,TBD,Jackie Berroyer,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_026,Le Sens de la famille,TBD,Philippe Uchan,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_027,Présidents,TBD,Anne Fontaine,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_027,Présidents,TBD,Denis Podalydès,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_027,Présidents,TBD,Jean-Chrétien Sibertin-Blanc,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_027,Présidents,TBD,Jean-Michel Lahmy,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_028,Soeurs,TBD,Yamina Benguigui,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_028,Soeurs,TBD,Isabelle Adjani,LEA,,,,,,,,,,,,,,,,,,,,,
FR2021_028,Soeurs,TBD,Fettouma Bouamari,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_029,Sous le ciel d&apos;Alice,TBD,Chloé Mazlo,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_029,Sous le ciel d&apos;Alice,TBD,Hany Tamba,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_030,Teddy,TBD,Zoran Boukherma,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_030,Teddy,TBD,Ludovic Boukherma,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_030,Teddy,TBD,Noémie Lvovsky,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_031,The Deep House,TBD,Alexandre Bustillo,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_031,The Deep House,TBD,Julien Maury,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_031,The Deep House,TBD,Éric Savin,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_032,Benedetta,TBD,Paul Verhoeven,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_032,Benedetta,TBD,Charlotte Rampling,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_032,Benedetta,TBD,Lambert Wilson,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_032,Benedetta,TBD,Olivier Rabourdin,SUP,,,,,,,,,,,,,,,,,,,,,
FR2021_032,Benedetta,TBD,Hervé Pierre,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_032,Benedetta,TBD,Guilaine Londez,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_033,Bergman Island,TBD,Mia Hansen-Løve,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_033,Bergman Island,TBD,Tim Roth,LEA,,,,,,,,,,,,,,,,,,,,,
FR2021_034,Frères d&apos;arme,TBD,Sylvain Labrosse,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_034,Frères d&apos;arme,TBD,Marika Vibik,MIN,,,,,,,,,,,,,,,,,,,,,
FR2021_035,Mystère à Saint-Tropez,TBD,Nicolas Benamou,DIR,,,,,,,,,,,,,,,,,,,,,
FR2021_035,Mystère à Saint-Tropez,TBD,Christian Clavier,LEA,,,,,,,,,,,,,,,,,,,,,
FR2021_035,Mystère à Saint-Tropez,TBD,Benoît Poelvoorde,LEA,,,,,,,,,,,,,,,,,,,,,
